dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.554256,4.240743,0.002474,0.098954,1.979080,39.581597,6.283103
0.050000,0.556673,4.240743,0.009895,0.197908,1.979080,0.000000,0.000040
0.050000,0.569042,4.240745,0.022265,0.296862,1.979080,0.000000,0.000243
0.050000,0.586359,4.240751,0.039582,0.395816,1.979080,-0.000000,0.000527
0.050000,0.608624,4.240767,0.061846,0.494770,1.979080,0.000000,0.000890
0.050000,0.635836,4.240797,0.089059,0.593724,1.979080,0.000000,0.001329
0.050000,0.667996,4.240848,0.121219,0.692678,1.979080,-0.000000,0.001844
0.050000,0.705104,4.240928,0.158326,0.791632,1.979080,0.000000,0.002432
0.050000,0.747159,4.241044,0.200382,0.890586,1.979080,-0.000000,0.003090
0.050000,0.794162,4.241206,0.247385,0.989540,1.979080,0.000000,0.003815
0.050000,0.846112,4.241425,0.299336,1.088494,1.979080,-0.000000,0.004604
0.050000,0.903010,4.241711,0.356234,1.187448,1.979080,0.000000,0.005453
0.050000,0.964855,4.242077,0.418081,1.286402,1.979080,-0.000000,0.006357
0.050000,1.031647,4.242533,0.484875,1.385356,1.979080,0.000000,0.007312
0.050000,1.103387,4.243094,0.556616,1.484310,1.979080,0.000000,0.008313
0.050000,1.180073,4.243772,0.633306,1.583264,1.979080,-0.000000,0.009356
0.050000,1.261706,4.244579,0.714943,1.682218,1.979080,0.000000,0.010433
0.050000,1.348286,4.245531,0.801527,1.781172,1.979080,0.000000,0.011540
0.050000,1.439811,4.246639,0.893060,1.880126,1.979080,0.000000,0.012669
0.050000,1.536283,4.247917,0.989540,1.979080,1.979080,-0.000000,0.013815
0.050000,1.637700,4.249377,1.090968,2.078034,1.979080,0.000000,0.014969
0.050000,1.744063,4.251032,1.197343,2.176988,1.979080,0.000000,0.016125
0.050000,1.855371,4.252891,1.308667,2.275942,1.979080,0.000000,0.017275
0.050000,1.971623,4.254966,1.424937,2.374896,1.979080,0.000000,0.018411
0.050000,2.092820,4.257266,1.546156,2.473850,1.979080,-0.000000,0.019523
0.050000,2.218961,4.259798,1.672322,2.572804,1.979080,0.000000,0.020603
0.050000,2.350046,4.262568,1.803436,2.671758,1.979080,0.000000,0.021642
0.050000,2.486074,4.265581,1.939498,2.770712,1.979080,0.000000,0.022630
0.050000,2.627046,4.268838,2.080508,2.869666,1.979080,0.000000,0.023558
0.050000,2.772961,4.272340,2.226465,2.968620,1.979080,0.000000,0.024413
0.050000,2.923819,4.276084,2.377370,3.067574,1.979080,-0.000000,0.025187
0.050000,3.079621,4.280063,2.533222,3.166528,1.979080,0.000000,0.025868
0.050000,3.240366,4.284270,2.694022,3.265482,1.979080,-0.000000,0.026444
0.050000,3.406055,4.288693,2.859770,3.364436,1.979080,0.000000,0.026904
0.050000,3.576688,4.293315,3.030466,3.463390,1.979080,-0.000000,0.027235
0.050000,3.752266,4.298117,3.206109,3.562344,1.979080,0.000000,0.027425
0.050000,3.932789,4.303075,3.386700,3.661298,1.979080,-0.000000,0.027461
0.050000,4.118258,4.308160,3.572239,3.760252,1.979080,0.000000,0.027330
0.050000,4.308674,4.313338,3.762726,3.859206,1.979080,-0.000000,0.027018
0.050000,4.504038,4.318571,3.958160,3.958160,1.979080,0.000000,0.026510
0.050000,4.704351,4.323815,4.158541,4.057114,1.979080,-0.000000,0.025793
0.050000,4.909615,4.329017,4.363871,4.156068,1.979080,0.000000,0.024853
0.050000,5.119830,4.334122,4.574148,4.255022,1.979080,-0.000000,0.023672
0.050000,5.334998,4.339066,4.789373,4.353976,1.979080,0.000000,0.022237
0.050000,5.555120,4.343779,5.009546,4.452930,1.979080,-0.000000,0.020532
0.050000,5.780198,4.348181,5.234666,4.551884,1.979080,0.000000,0.018539
0.050000,6.010231,4.352187,5.464734,4.650838,1.979080,0.000000,0.016243
0.050000,6.245220,4.355702,5.699750,4.749792,1.979080,0.000000,0.013627
0.050000,6.485166,4.358624,5.939713,4.848746,1.979080,-0.000000,0.010673
0.050000,6.730067,4.360838,6.184624,4.947700,1.979080,0.000000,0.007365
0.050000,6.979922,4.362225,6.434483,5.046654,1.979080,-0.000000,0.003683
0.050000,7.234728,4.362651,6.689290,5.145608,1.979080,0.000000,6.282796
0.050000,7.494481,4.361975,6.949044,5.244562,1.979080,-0.000000,6.278314
0.050000,7.759175,4.360044,7.213746,5.343516,1.979080,0.000000,6.273404
0.050000,8.028804,4.356692,7.483396,5.442470,1.979080,-0.000000,6.268047
0.050000,8.289888,4.352096,7.757993,5.541424,1.979080,0.000000,6.263145
0.050000,8.569361,4.345778,8.037538,5.640378,1.979080,-0.000000,6.258039
0.050000,8.853744,4.337903,8.322031,5.739332,1.979080,0.000000,6.252988
0.050000,9.143030,4.328439,8.611471,5.838285,1.979080,0.000000,6.248003
0.050000,9.437209,4.317357,8.905859,5.937239,1.979080,0.000000,6.243091
0.050000,9.736274,4.304632,9.205195,6.036193,1.979080,-0.000000,6.238261
0.050000,10.040217,4.290243,9.509479,6.135147,1.979080,0.000000,6.233524
0.050000,10.349030,4.274172,9.818710,6.234101,1.979080,-0.000000,6.228886
0.050000,10.662706,4.256405,10.132889,6.333055,1.979080,0.000000,6.224359
0.050000,10.981238,4.236936,10.452015,6.432009,1.979080,-0.000000,6.219951
0.050000,11.299979,4.216073,10.771439,6.344939,-1.741403,-74.409664,6.215731
0.050000,11.613993,4.194228,11.086212,6.245985,-1.979080,-4.753529,6.211761
0.050000,11.922986,4.171538,11.396038,6.147031,-1.979080,0.000000,6.208037
0.050000,12.226963,4.148114,11.700915,6.048077,-1.979080,0.000000,6.204551
0.050000,12.525927,4.124062,12.000845,5.949123,-1.979080,-0.000000,6.201293
0.050000,12.819883,4.099482,12.295828,5.850169,-1.979080,0.000000,6.198257
0.050000,13.108837,4.074468,12.585862,5.751215,-1.979080,-0.000000,6.195432
0.050000,13.392793,4.049107,12.870949,5.652261,-1.979080,0.000000,6.192812
0.050000,13.671758,4.023482,13.151088,5.553307,-1.979080,-0.000000,6.190388
0.050000,13.945737,3.997672,13.426280,5.454353,-1.979080,0.000000,6.188152
0.050000,14.214734,3.971749,13.696524,5.355399,-1.979080,-0.000000,6.186097
0.050000,14.478756,3.945781,13.961820,5.256445,-1.979080,0.000000,6.184215
0.050000,14.737808,3.919831,14.222168,5.157491,-1.979080,0.000000,6.182498
0.050000,14.991895,3.893958,14.477569,5.058537,-1.979080,0.000000,6.180939
0.050000,15.241022,3.868217,14.728022,4.959583,-1.979080,-0.000000,6.179531
0.050000,15.485193,3.842658,14.973527,4.860629,-1.979080,0.000000,6.178267
0.050000,15.724413,3.817328,15.214085,4.761675,-1.979080,-0.000000,6.177139
0.050000,15.958687,3.792271,15.449695,4.662721,-1.979080,0.000000,6.176142
0.050000,16.188018,3.767525,15.680357,4.563767,-1.979080,-0.000000,6.175267
0.050000,16.412410,3.743127,15.906072,4.464813,-1.979080,0.000000,6.174510
0.050000,16.631866,3.719109,16.126838,4.365859,-1.979080,-0.000000,6.173863
0.050000,16.846390,3.695502,16.342658,4.266905,-1.979080,0.000000,6.173319
0.050000,17.055985,3.672333,16.553529,4.167951,-1.979080,-0.000000,6.172874
0.050000,17.260653,3.649626,16.759453,4.068997,-1.979080,0.000000,6.172521
0.050000,17.460397,3.627403,16.960429,3.970043,-1.979080,0.000000,6.172254
0.050000,17.655218,3.605682,17.156457,3.871089,-1.979080,0.000000,6.172068
0.050000,17.845119,3.584482,17.347538,3.772135,-1.979080,-0.000000,6.171957
0.050000,18.030101,3.563816,17.533671,3.673182,-1.979080,0.000000,6.171915
0.050000,18.210166,3.543698,17.714856,3.574228,-1.979080,-0.000000,6.171938
0.050000,18.385315,3.524139,17.891093,3.475274,-1.979080,0.000000,6.172020
0.050000,18.555548,3.505148,18.062383,3.376320,-1.979080,-0.000000,6.172156
0.050000,18.720868,3.486731,18.228725,3.277366,-1.979080,0.000000,6.172342
0.050000,18.881274,3.468896,18.390120,3.178412,-1.979080,-0.000000,6.172572
0.050000,19.036767,3.451647,18.546566,3.079458,-1.979080,0.000000,6.172843
0.050000,19.187347,3.434986,18.698065,2.980504,-1.979080,0.000000,6.173149
