dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.554166,3.155743,0.002474,0.098954,1.979080,39.581597,6.283103
0.050000,0.556716,3.155743,0.005024,0.050997,-0.959142,-58.764427,0.000040
0.050000,0.569306,3.155745,0.017614,0.251802,4.016093,99.504689,0.000243
0.050000,0.586931,3.155752,0.035239,0.352495,2.013862,-40.044610,0.000527
0.050000,0.609589,3.155768,0.057897,0.453160,2.013309,-0.011062,0.000890
0.050000,0.637278,3.155798,0.085586,0.553790,2.012600,-0.014177,0.001329
0.050000,0.669997,3.155850,0.118305,0.654377,2.011734,-0.017323,0.001844
0.050000,0.707743,3.155931,0.156050,0.754912,2.010709,-0.020511,0.002432
0.050000,0.750512,3.156049,0.198820,0.855389,2.009526,-0.023647,0.003090
0.050000,0.798301,3.156214,0.246610,0.955798,2.008185,-0.026822,0.003815
0.050000,0.851108,3.156437,0.299416,1.056132,2.006687,-0.029972,0.004604
0.050000,0.908926,3.156727,0.357236,1.156384,2.005030,-0.033137,0.005453
0.050000,0.971752,3.157099,0.420063,1.256544,2.003213,-0.036331,0.006357
0.050000,1.039581,3.157562,0.487893,1.356606,2.001240,-0.039460,0.007312
0.050000,1.112407,3.158131,0.560721,1.456562,1.999108,-0.042653,0.008313
0.050000,1.190224,3.158819,0.638541,1.556403,1.996817,-0.045822,0.009356
0.050000,1.273026,3.159639,0.721347,1.656121,1.994367,-0.048983,0.010433
0.050000,1.360806,3.160603,0.809133,1.755709,1.991759,-0.052159,0.011540
0.050000,1.453557,3.161726,0.901891,1.855159,1.988993,-0.055322,0.012669
0.050000,1.551272,3.163021,0.999614,1.954462,1.986069,-0.058496,0.013815
0.050000,1.653942,3.164499,1.102294,2.053611,1.982986,-0.061656,0.014969
0.050000,1.761558,3.166173,1.209924,2.152599,1.979745,-0.064820,0.016125
0.050000,1.874114,3.168053,1.322495,2.251416,1.976346,-0.067981,0.017275
0.050000,1.991598,3.170150,1.439998,2.350055,1.972789,-0.071140,0.018411
0.050000,2.114001,3.172473,1.562423,2.448509,1.969074,-0.074289,0.019523
0.050000,2.241314,3.175028,1.689762,2.546769,1.965202,-0.077446,0.020603
0.050000,2.373526,3.177822,1.822003,2.644828,1.961173,-0.080590,0.021642
0.050000,2.510626,3.180859,1.959137,2.742677,1.956985,-0.083742,0.022630
0.050000,2.652604,3.184139,2.101153,2.840309,1.952641,-0.086881,0.023558
0.050000,2.799447,3.187663,2.248038,2.937716,1.948140,-0.090031,0.024413
0.050000,2.951145,3.191428,2.399783,3.034890,1.943481,-0.093172,0.025187
0.050000,3.107685,3.195426,2.556374,3.131823,1.938665,-0.096325,0.025868
0.050000,3.269055,3.199650,2.717799,3.228508,1.933692,-0.099467,0.026444
0.050000,3.435243,3.204086,2.884046,3.324936,1.928560,-0.102626,0.026904
0.050000,3.606235,3.208718,3.055101,3.421100,1.923271,-0.105784,0.027235
0.050000,3.782019,3.213525,3.230951,3.516991,1.917824,-0.108952,0.027425
