dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.190524,11.584385,0.004762,0.190476,3.809524,76.190476,0.040257
0.050000,6.208015,11.585073,0.022266,0.350084,3.192160,-12.347271,0.038647
0.050000,6.254752,11.586796,0.069035,0.935374,11.705802,170.272833,0.035042
0.050000,6.332601,11.589292,0.146924,1.557776,12.448028,14.844531,0.029088
0.050000,6.441485,11.592012,0.255842,2.178365,12.411779,-0.724999,0.020868
0.050000,6.581284,11.594202,0.395658,2.796316,12.359030,-1.054962,0.010504
0.050000,6.751819,11.594936,0.566194,3.410735,12.288367,-1.413263,6.281344
0.050000,6.952842,11.593139,0.767226,4.020635,12.198013,-1.807090,6.267225
0.050000,7.184024,11.587628,0.998474,4.624952,12.086340,-2.233458,6.251589
0.050000,7.444943,11.577162,1.259602,5.222563,11.952222,-2.682354,6.234747
0.050000,7.735080,11.560496,1.550218,5.812315,11.795034,-3.143766,6.217059
0.050000,8.053828,11.536448,1.869871,6.393064,11.614987,-3.600935,6.198942
0.050000,8.400495,11.503964,2.218057,6.963717,11.413060,-4.038541,6.180859
0.050000,8.774332,11.462195,2.594220,7.523267,11.190998,-4.441250,6.163325
0.050000,9.169638,11.411242,2.992796,7.971515,8.964961,-44.520725,6.147078
0.050000,9.576024,11.352560,3.403398,8.212034,4.810379,-83.091640,6.132915
0.050000,9.983516,11.288359,3.815916,8.250373,0.766769,-80.872209,6.121375
0.050000,10.387336,11.220533,4.225392,8.189517,-1.217122,-39.677814,6.112640
0.050000,10.787658,11.150272,4.631833,8.128826,-1.213803,0.066377,6.106703
0.050000,11.184678,11.078729,5.035248,8.068289,-1.210742,0.061228,6.103555
0.050000,11.578598,11.007030,5.435640,8.007845,-1.208895,0.036936,6.103194
0.050000,11.969619,10.936275,5.833010,7.947407,-1.208760,0.002688,6.105618
0.050000,12.357926,10.867539,6.227355,7.886887,-1.210403,-0.032851,6.110830
0.050000,12.743689,10.801880,6.618665,7.826215,-1.213434,-0.060619,6.118837
0.050000,13.127049,10.740335,7.006934,7.765365,-1.217006,-0.071439,6.129648
0.050000,13.508114,10.683923,7.392152,7.704373,-1.219835,-0.056580,6.143269
0.050000,13.886961,10.633644,7.774321,7.643366,-1.220126,-0.005815,6.159700
0.050000,14.254174,10.591445,8.143951,7.392601,-5.015318,-75.903858,6.176745
0.050000,14.661317,10.546198,8.553600,8.192984,16.007669,420.459744,6.167851
0.050000,15.070835,10.496450,8.966129,8.250583,1.151973,-297.113905,6.156301
0.050000,15.482733,10.440988,9.381744,8.312306,1.234461,1.649744,6.141906
0.050000,15.897007,10.378477,9.800708,8.379264,1.339165,2.094078,6.124423
0.050000,16.313623,10.307427,10.223338,8.452617,1.467065,2.558013,6.103558
0.050000,16.732498,10.226165,10.650023,8.533694,1.621529,3.089273,6.078954
0.050000,17.153460,10.132792,11.081216,8.623866,1.803438,3.638183,6.050191
0.050000,17.576197,10.025155,11.517441,8.724500,2.012682,4.184872,6.016785
0.050000,18.000178,9.900809,11.959281,8.836796,2.245921,4.664786,5.978198
0.050000,18.424554,9.757008,12.407358,8.961540,2.494891,4.979403,5.933854
0.050000,18.848003,9.590727,12.862285,9.098545,2.740091,4.904002,5.883184
0.050000,19.268563,9.398746,13.324592,9.246132,2.951740,4.232978,5.825700
0.050000,19.683426,9.177849,13.794599,9.400144,3.080237,2.569939,5.761102
0.050000,20.088776,8.925159,14.272261,9.553241,3.061943,-0.365883,5.689430
0.050000,20.479750,8.638630,14.756987,9.694526,2.825712,-4.724621,5.611227
0.050000,20.850644,8.317619,15.247507,9.810399,2.317449,-10.165263,5.527666
0.050000,21.195451,7.963368,15.741862,9.887091,1.533848,-15.672001,5.440559
0.050000,21.508691,7.579155,16.237582,9.914406,0.546300,-19.750960,5.352189
0.050000,21.786266,7.169958,16.732041,9.889183,-0.504456,-21.015124,5.264984
0.050000,22.025710,6.742335,17.222138,9.801929,-1.745083,-24.812546,5.181264
0.050000,22.224640,6.308249,17.699636,9.549954,-5.039496,-65.888259,5.103691
0.050000,22.382611,5.883932,18.152405,9.055391,-9.891277,-97.035620,5.034671
0.050000,22.503008,5.483766,18.570290,8.357701,-13.953792,-81.250301,4.975335
0.050000,22.592284,5.115137,18.949576,7.585716,-15.439705,-29.718254,4.925263
0.050000,22.657418,4.779357,19.291615,6.840778,-14.898764,10.818814,4.883199
0.050000,22.704065,4.476901,19.597647,6.120643,-14.402687,9.921535,4.847995
0.050000,22.736733,4.207777,19.868746,5.421979,-13.973293,8.587880,4.818663
0.050000,22.758990,3.971783,20.105788,4.740834,-13.622894,7.007984,4.794389
0.050000,22.773642,3.768605,20.309493,4.074110,-13.334467,5.768545,4.774509
0.050000,22.782879,3.597924,20.480424,3.418621,-13.109788,4.493586,4.758502
0.050000,22.788395,3.459425,20.619033,2.772176,-12.928901,3.617739,4.745958
0.050000,22.791471,3.352859,20.725643,2.132200,-12.799527,2.587479,4.736568
0.050000,22.793038,3.278007,20.800512,1.497379,-12.696412,2.062297,4.730104
0.050000,22.793734,3.234075,20.844449,0.878745,-12.372680,6.474628,4.726360
0.050000,22.793985,3.215071,20.863455,0.380109,-9.972723,47.999154,4.724752
0.050000,22.794040,3.210483,20.868043,0.091775,-5.766682,84.120804,4.724364
0.050000,22.794040,3.210483,20.868043,0.000000,-1.835498,78.623686,4.724364
