dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.234191,10.500264,0.004762,0.190476,3.809524,76.190476,0.040257
0.050000,6.249937,10.500883,0.023810,0.571429,7.619048,76.190476,0.038647
0.050000,6.292765,10.502462,0.066667,1.142857,11.428571,76.190476,0.035042
0.050000,6.364156,10.504751,0.138095,1.714286,11.428571,0.000000,0.029088
0.050000,6.464125,10.507248,0.238095,2.285714,11.428571,-0.000000,0.020868
0.050000,6.592680,10.509262,0.366667,2.857143,11.428571,0.000000,0.010504
0.050000,6.749820,10.509938,0.523810,3.428571,11.428571,0.000000,6.281344
0.050000,6.935526,10.508277,0.709524,4.000000,11.428571,-0.000000,6.267225
0.050000,7.149748,10.503169,0.923810,4.571429,11.428571,0.000000,6.251589
0.050000,7.392407,10.493434,1.166667,5.142857,11.428571,0.000000,6.234747
0.050000,7.663386,10.477867,1.438095,5.714286,11.428571,-0.000000,6.217059
0.050000,7.962531,10.455296,1.738095,6.285714,11.428571,0.000000,6.198942
0.050000,8.289665,10.424639,2.066667,6.857143,11.428571,0.000000,6.180859
0.050000,8.644594,10.384979,2.423810,7.428571,11.428571,-0.000000,6.163325
0.050000,9.022416,10.336277,2.804762,7.809524,7.619048,-76.190476,6.147078
0.050000,9.413593,10.279787,3.200000,8.000000,3.809524,-76.190476,6.132915
0.050000,9.808717,10.217532,3.600000,8.000000,0.000000,-76.190476,6.121375
0.050000,10.203190,10.151274,4.000000,8.000000,0.000000,0.000000,6.112640
0.050000,10.597167,10.082125,4.400000,8.000000,0.000000,0.000000,6.106703
0.050000,10.990826,10.011187,4.800000,8.000000,0.000000,0.000000,6.103555
0.050000,11.384360,9.939558,5.200000,8.000000,0.000000,0.000000,6.103194
0.050000,11.777968,9.868335,5.600000,8.000000,0.000000,0.000000,6.105618
0.050000,12.171845,9.798615,6.000000,8.000000,0.000000,0.000000,6.110830
0.050000,12.566173,9.731500,6.400000,8.000000,0.000000,0.000000,6.118837
0.050000,12.961115,9.668099,6.800000,8.000000,0.000000,0.000000,6.129648
0.050000,13.356800,9.609526,7.200000,8.000000,0.000000,0.000000,6.143269
0.050000,13.753319,9.556906,7.600000,8.000000,0.000000,0.000000,6.159700
0.050000,14.138904,9.512585,8.000000,8.000000,0.000000,0.000000,6.176745
0.050000,14.536456,9.468407,8.400000,8.000000,0.000000,0.000000,6.167851
0.050000,14.933535,9.420172,8.800000,8.000000,0.000000,0.000000,6.156301
0.050000,15.329954,9.366798,9.200000,8.000000,0.000000,0.000000,6.141906
0.050000,15.725473,9.307122,9.600000,8.000000,0.000000,0.000000,6.124423
0.050000,16.119774,9.239884,10.000000,8.000000,0.000000,0.000000,6.103558
0.050000,16.512444,9.163714,10.400000,8.000000,0.000000,0.000000,6.078954
0.050000,16.902942,9.077110,10.800000,8.000000,0.000000,0.000000,6.050191
0.050000,17.290560,8.978428,11.200000,8.000000,0.000000,0.000000,6.016785
0.050000,17.674373,8.865881,11.600000,8.000000,0.000000,0.000000,5.978198
0.050000,18.053191,8.737541,12.000000,8.000000,0.000000,0.000000,5.933854
0.050000,18.425483,8.591376,12.400000,8.000000,0.000000,0.000000,5.883184
0.050000,18.789326,8.425320,12.800000,8.000000,0.000000,0.000000,5.825700
0.050000,19.142350,8.237390,13.200000,8.000000,0.000000,0.000000,5.761102
0.050000,19.481743,8.025862,13.600000,8.000000,0.000000,0.000000,5.689430
0.050000,19.804316,7.789505,14.000000,8.000000,0.000000,0.000000,5.611227
0.050000,20.106695,7.527831,14.400000,8.000000,0.000000,0.000000,5.527666
0.050000,20.385615,7.241295,14.800000,8.000000,0.000000,0.000000,5.440559
0.050000,20.638288,6.931373,15.200000,8.000000,0.000000,0.000000,5.352189
0.050000,20.862752,6.600444,15.600000,8.000000,0.000000,0.000000,5.264984
0.050000,21.057806,6.252042,15.999404,7.976165,-0.476694,-9.533876,5.181264
0.050000,21.221651,5.894439,16.392855,7.761854,-4.286218,-76.190476,5.103691
0.050000,21.353472,5.540278,16.770828,7.357067,-8.095741,-76.190476,5.034671
0.050000,21.455302,5.201746,17.124395,6.785639,-11.428571,-66.656600,4.975335
0.050000,21.531775,4.885909,17.449392,6.214210,-11.428571,0.000000,4.925263
0.050000,21.588208,4.594928,17.745816,5.642782,-11.428571,0.000000,4.883199
0.050000,21.629026,4.330219,18.013670,5.071353,-11.428571,-0.000000,4.847995
0.050000,21.657855,4.092687,18.252952,4.499925,-11.428571,0.000000,4.818663
0.050000,21.677636,3.882913,18.463662,3.928496,-11.428571,-0.000000,4.794389
0.050000,21.690734,3.701248,18.645801,3.357067,-11.428571,0.000000,4.774509
0.050000,21.699032,3.547908,18.799369,2.785639,-11.428571,0.000000,4.758502
0.050000,21.704006,3.423009,18.924365,2.214210,-11.428571,-0.000000,4.745958
0.050000,21.706788,3.326628,19.020790,1.642782,-11.428571,0.000000,4.736568
0.050000,21.708209,3.258787,19.088643,1.071353,-11.428571,0.000000,4.730104
0.050000,21.708840,3.218917,19.128521,0.523759,-10.951878,9.533876,4.726360
0.050000,21.709067,3.201658,19.145781,0.166642,-7.142354,76.190476,4.724752
0.050000,21.709118,3.197489,19.149947,0.000000,-3.332830,76.190476,4.724364
0.050000,21.709118,3.197489,19.149947,0.000000,0.000000,66.656600,4.724364
