dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.277859,9.416143,0.004762,0.190476,3.809524,76.190476,0.040257
0.050000,6.291858,9.416693,0.018772,0.280210,1.794677,-40.296939,0.038647
0.050000,6.330778,9.418128,0.057718,0.778913,9.974063,163.587725,0.035042
0.050000,6.395712,9.420210,0.122686,1.299362,10.408966,8.698065,0.029088
0.050000,6.486765,9.422484,0.213767,1.821625,10.445275,0.726177,0.020868
0.050000,6.604077,9.424322,0.331093,2.346517,10.497840,1.051296,0.010504
0.050000,6.747822,9.424940,0.474840,2.874939,10.568428,1.411765,6.281344
0.050000,6.918209,9.423415,0.645234,3.407874,10.658716,1.805760,6.267225
0.050000,7.115472,9.418711,0.842553,3.946388,10.770270,2.231083,6.251589
0.050000,7.339872,9.409707,1.067134,4.491607,10.904371,2.682006,6.234747
0.050000,7.591691,9.395239,1.319368,5.044685,11.061578,3.144137,6.217059
0.050000,7.871235,9.374144,1.599706,5.606771,11.241720,3.602850,6.198942
0.050000,8.178835,9.345315,1.908654,6.178960,11.443768,4.040963,6.180859
0.050000,8.514856,9.307764,2.246768,6.762264,11.666078,4.446193,6.163325
0.050000,8.875195,9.261311,2.610088,7.266412,10.082966,-31.662232,6.147078
0.050000,9.251163,9.207015,2.989956,7.597357,6.618901,-69.281314,6.132915
0.050000,9.633917,9.146705,3.377433,7.749539,3.043630,-71.505409,6.121375
0.050000,10.019044,9.082015,3.767955,7.810432,1.217876,-36.515090,6.112640
0.050000,10.406675,9.013978,4.161512,7.871150,1.214353,-0.070452,6.106703
0.050000,10.796974,8.943644,4.558097,7.931704,1.211083,-0.065408,6.103555
0.050000,11.190123,8.872086,4.957705,7.992155,1.209024,-0.041178,6.103194
0.050000,11.586318,8.800395,5.360335,8.052590,1.208685,-0.006771,6.105618
0.050000,11.985764,8.729691,5.765989,8.113095,1.210118,0.028649,6.110830
0.050000,12.388657,8.661121,6.174676,8.173742,1.212935,0.056357,6.118837
0.050000,12.795181,8.595862,6.586404,8.234558,1.216309,0.067464,6.129648
0.050000,13.205485,8.535129,7.001180,8.295503,1.218914,0.052105,6.143269
0.050000,13.619677,8.480168,7.419002,8.356453,1.218996,0.001637,6.159700
0.050000,14.023634,8.433726,7.825620,8.132361,-4.481835,-114.016607,6.176745
0.050000,14.411595,8.390615,8.215969,7.806971,-6.507800,-40.519301,6.167851
0.050000,14.796235,8.343895,8.603435,7.749332,-1.152797,107.100054,6.156301
0.050000,15.177175,8.292609,8.987813,7.687548,-1.235666,-1.657375,6.141906
0.050000,15.553939,8.235767,9.368840,7.620548,-1.340001,-2.086715,6.124423
0.050000,15.925925,8.172341,9.746195,7.547094,-1.469079,-2.581559,6.103558
0.050000,16.292391,8.101263,10.119490,7.465902,-1.623846,-3.095326,6.078954
0.050000,16.652425,8.021427,10.488269,7.375585,-1.806348,-3.650037,6.050191
0.050000,17.004922,7.931702,10.852007,7.274759,-2.016515,-4.203357,6.016785
0.050000,17.348568,7.830953,11.210117,7.162201,-2.251149,-4.692678,5.978198
0.050000,17.681828,7.718073,11.561975,7.037161,-2.500809,-4.993187,5.933854
0.050000,18.002963,7.592025,11.906962,6.899735,-2.748512,-4.954059,5.883184
0.050000,18.310089,7.451895,12.244545,6.751665,-2.961402,-4.257808,5.825700
0.050000,18.601275,7.296931,12.574399,6.597065,-3.092011,-2.612175,5.761102
0.050000,18.874709,7.126565,12.896565,6.443324,-3.074817,0.343875,5.689430
0.050000,19.128882,6.940380,13.211634,6.301391,-2.838652,4.723301,5.611227
0.050000,19.362747,6.738042,13.520881,6.184933,-2.329175,10.189549,5.527666
0.050000,19.575778,6.519222,13.826273,6.107835,-1.541953,15.744429,5.440559
0.050000,19.767884,6.283590,14.130291,6.080371,-0.549277,19.853515,5.352189
0.050000,19.939238,6.030929,14.435577,6.105720,0.506977,21.125086,5.264984
0.050000,20.089902,5.761749,14.744054,6.169536,1.276333,15.387125,5.181264
0.050000,20.218663,5.480628,15.053259,6.184100,0.291272,-19.701234,5.103691
0.050000,20.324333,5.196624,15.356285,6.060514,-2.471726,-55.259943,5.034671
0.050000,20.407595,4.919726,15.645430,5.782912,-5.552045,-61.606386,4.975335
0.050000,20.471266,4.656682,15.916071,5.412809,-7.402059,-37.000276,4.925263
0.050000,20.518998,4.410499,16.166838,5.015344,-7.949284,-10.944509,4.883199
0.050000,20.553986,4.183537,16.396481,4.592868,-8.449536,-10.005028,4.847995
0.050000,20.578976,3.977596,16.603933,4.149036,-8.876623,-8.541741,4.818663
0.050000,20.596282,3.794043,16.788300,3.687332,-9.234099,-7.149537,4.794389
0.050000,20.607827,3.633890,16.948868,3.211370,-9.519239,-5.702788,4.774509
0.050000,20.615185,3.497893,17.085064,2.723921,-9.748970,-4.594622,4.758502
0.050000,20.619618,3.386594,17.196452,2.227757,-9.923274,-3.486072,4.745958
0.050000,20.622105,3.300397,17.282685,1.724655,-10.062056,-2.775647,4.736568
0.050000,20.623379,3.239567,17.343528,1.216854,-10.156018,-1.879237,4.730104
0.050000,20.623946,3.203759,17.379341,0.716263,-10.011808,2.884202,4.726360
0.050000,20.624150,3.188244,17.394856,0.310313,-8.119011,37.855926,4.724752
0.050000,20.624196,3.184496,17.398605,0.074967,-4.706918,68.241870,4.724364
0.050000,20.624196,3.184496,17.398605,0.000000,-1.499337,64.151613,4.724364
