dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000813,1.085000,0.005000,0.200000,4.000000,80.000000,6.282436
0.050000,0.004730,1.085001,0.008917,0.078346,-2.433088,-128.661752,0.000250
0.050000,0.047280,1.085059,0.051466,0.850984,15.452775,357.717244,0.002510
0.050000,0.122880,1.085402,0.127067,1.512015,13.220621,-44.643068,0.006564
0.050000,0.236175,1.086494,0.240368,2.266010,15.079897,37.185514,0.012738
0.050000,0.387028,1.089048,0.391242,3.017494,15.029679,-1.004364,0.021148
0.050000,0.575235,1.094040,0.579515,3.765460,14.959317,-1.407230,0.031954
0.050000,0.800511,1.102744,0.804960,4.508886,14.868525,-1.815849,0.045370
0.050000,1.062447,1.116760,1.067270,5.246208,14.746429,-2.441910,0.061670
0.050000,1.360489,1.138060,1.366073,5.976060,14.597042,-2.987742,0.081202
0.050000,1.689258,1.168565,1.696254,6.603617,12.551150,-40.917849,0.104071
0.050000,2.038665,1.209603,2.048063,7.036170,8.651046,-78.002067,0.130044
0.050000,2.398674,1.261899,2.411850,7.275758,4.791770,-77.185534,0.158798
0.050000,2.759410,1.325363,2.778126,7.325520,0.995227,-75.930859,0.189867
0.050000,3.115697,1.399907,3.142128,7.280029,-0.909814,-38.100815,0.223030
0.050000,3.466883,1.486038,3.503722,7.231876,-0.963066,-1.065035,0.258410
0.050000,3.812259,1.584248,3.862789,7.181350,-1.010506,-0.948813,0.296116
0.050000,4.151059,1.695001,4.219232,7.128865,-1.049704,-0.783953,0.336238
0.050000,4.482481,1.818728,4.572996,7.075277,-1.071770,-0.441311,0.378828
0.050000,4.805685,1.955806,4.924068,7.021441,-1.076719,-0.098981,0.423895
0.050000,5.119827,2.106553,5.272508,6.968786,-1.053096,0.472449,0.471386
0.050000,5.424067,2.271211,5.618447,6.918780,-1.000112,1.059677,0.521179
0.050000,5.717599,2.449940,5.962111,6.873289,-0.909820,1.805842,0.573065
0.050000,5.999673,2.642813,6.303821,6.834205,-0.781688,2.562639,0.626750
0.050000,6.269614,2.849811,6.643992,6.803416,-0.615784,3.318092,0.681852
0.050000,6.526835,3.070817,6.983118,6.782527,-0.417774,3.960187,0.737916
0.050000,6.770850,3.305618,7.321755,6.772727,-0.195998,4.435527,0.794431
0.050000,7.001275,3.553897,7.660485,6.774602,0.037494,4.669844,0.850859
0.050000,7.217826,3.815238,7.999887,6.788038,0.268723,4.624580,0.906669
0.050000,7.420321,4.089122,8.340499,6.812242,0.484088,4.307293,0.961365
0.050000,7.608675,4.374933,8.682792,6.845871,0.672567,3.769579,1.014513
0.050000,7.782898,4.671970,9.027154,6.887229,0.827160,3.091862,1.065759
0.050000,7.943091,4.979461,9.373871,6.934348,0.942395,2.304698,1.114835
0.050000,8.089443,5.296589,9.723140,6.985366,1.020363,1.559358,1.161562
0.050000,8.222220,5.622509,10.075069,7.038581,1.064299,0.878726,1.205840
0.050000,8.341760,5.956378,10.429692,7.092470,1.077775,0.269511,1.247638
0.050000,8.448458,6.297364,10.786982,7.145798,1.066552,-0.224454,1.286981
0.050000,8.542758,6.644675,11.146867,7.197705,1.038151,-0.568027,1.323934
0.050000,8.625134,6.997565,11.509244,7.247539,0.996678,-0.829454,1.358592
0.050000,8.696085,7.355340,11.873987,7.294858,0.946366,-1.006242,1.391073
0.050000,8.755865,7.715688,12.239260,7.305455,0.211951,-14.688294,1.421365
0.050000,8.804358,8.071699,12.598559,7.185975,-2.389606,-52.031148,1.449152
0.050000,8.841780,8.413425,12.942328,6.875381,-6.211868,-76.445227,1.474025
0.050000,8.869089,8.730810,13.260885,6.371140,-10.084832,-77.459280,1.495694
0.050000,8.887859,9.015486,13.546179,5.705895,-13.304887,-64.401105,1.514058
0.050000,8.900052,9.263857,13.794849,4.973395,-14.650011,-26.902481,1.529315
0.050000,8.907504,9.475419,14.006542,4.233864,-14.790617,-2.812127,1.541786
0.050000,8.911693,9.649812,14.180986,3.488869,-14.899903,-2.185713,1.551722
0.050000,8.913784,9.786779,14.317969,2.739661,-14.984162,-1.685179,1.559318
0.050000,8.914655,9.886143,14.417337,1.987357,-15.046079,-1.238349,1.564719
0.050000,8.914932,9.949527,14.480721,1.267682,-14.393504,13.051517,1.568117
0.050000,8.914993,9.983343,14.514537,0.676328,-11.827078,51.328512,1.569914
0.050000,8.915000,9.997017,14.528211,0.273473,-8.057088,75.399800,1.570639
0.050000,8.915000,10.000000,14.531194,0.059667,-4.276126,75.619233,1.570796
0.050000,8.915000,10.000000,14.531194,0.000000,-1.193340,61.655718,1.570796
