dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.005000,0.200000,4.000000,80.000000,6.282436
0.050000,0.005002,0.000001,0.025000,0.600000,8.000000,80.000000,0.000250
0.050000,0.050002,0.000063,0.070000,1.200000,12.000000,80.000000,0.002510
0.050000,0.130002,0.000425,0.150000,2.000000,16.000000,80.000000,0.006564
0.050000,0.249996,0.001582,0.270000,2.800000,16.000000,-0.000000,0.012738
0.050000,0.409972,0.004290,0.430000,3.600000,16.000000,0.000000,0.021148
0.050000,0.609899,0.009594,0.630000,4.400000,16.000000,0.000000,0.031954
0.050000,0.849720,0.018861,0.870000,5.200000,16.000000,-0.000000,0.045370
0.050000,1.129316,0.033822,1.150000,6.000000,16.000000,0.000000,0.061670
0.050000,1.448497,0.056636,1.470000,6.800000,16.000000,0.000000,0.081202
0.050000,1.801971,0.089435,1.825000,7.400000,12.000000,-80.000000,0.104071
0.050000,2.179366,0.133764,2.205000,7.800000,8.000000,-80.000000,0.130044
0.050000,2.570247,0.190550,2.600000,8.000000,4.000000,-80.000000,0.158798
0.050000,2.964181,0.259861,3.000000,8.000000,0.000000,-80.000000,0.189867
0.050000,3.355683,0.341781,3.400000,8.000000,0.000000,0.000000,0.223030
0.050000,3.744147,0.437063,3.800000,8.000000,0.000000,0.000000,0.258410
0.050000,4.128870,0.546470,4.200000,8.000000,0.000000,0.000000,0.296116
0.050000,4.509041,0.670758,4.600000,8.000000,0.000000,0.000000,0.336238
0.050000,4.883748,0.810656,5.000000,8.000000,0.000000,0.000000,0.378828
0.050000,5.251960,0.966835,5.400000,8.000000,0.000000,0.000000,0.423895
0.050000,5.612549,1.139884,5.800000,8.000000,0.000000,0.000000,0.471386
0.050000,5.964291,1.330263,6.200000,8.000000,0.000000,0.000000,0.521179
0.050000,6.305897,1.538276,6.600000,8.000000,0.000000,0.000000,0.573065
0.050000,6.636042,1.764031,7.000000,8.000000,0.000000,0.000000,0.626750
0.050000,6.953416,2.007410,7.400000,8.000000,0.000000,0.000000,0.681852
0.050000,7.256766,2.268056,7.800000,8.000000,0.000000,0.000000,0.737916
0.050000,7.544960,2.545368,8.200000,8.000000,0.000000,0.000000,0.794431
0.050000,7.817029,2.838516,8.600000,8.000000,0.000000,0.000000,0.850859
0.050000,8.072214,3.146475,9.000000,8.000000,0.000000,0.000000,0.906669
0.050000,8.309992,3.468067,9.400000,8.000000,0.000000,0.000000,0.961365
0.050000,8.530082,3.802016,9.800000,8.000000,0.000000,0.000000,1.014513
0.050000,8.732443,4.147003,10.200000,8.000000,0.000000,0.000000,1.065759
0.050000,8.917246,4.501708,10.600000,8.000000,0.000000,0.000000,1.114835
0.050000,9.084849,4.864859,11.000000,8.000000,0.000000,0.000000,1.161562
0.050000,9.235761,5.235264,11.400000,8.000000,0.000000,0.000000,1.205840
0.050000,9.370597,5.611822,11.800000,8.000000,0.000000,0.000000,1.247638
0.050000,9.490052,5.993542,12.200000,8.000000,0.000000,0.000000,1.286981
0.050000,9.594865,6.379541,12.600000,8.000000,0.000000,0.000000,1.323934
0.050000,9.685797,6.769047,13.000000,8.000000,0.000000,0.000000,1.358592
0.050000,9.763609,7.161388,13.400000,8.000000,0.000000,0.000000,1.391073
0.050000,9.828774,7.554157,13.798153,7.926128,-1.477443,-29.548853,1.421365
0.050000,9.881341,7.940041,14.187613,7.652256,-5.477443,-80.000000,1.449152
0.050000,9.921704,8.308592,14.558379,7.178384,-9.477443,-80.000000,1.474025
0.050000,9.951030,8.649400,14.900451,6.504511,-13.477443,-80.000000,1.495694
0.050000,9.971113,8.953958,15.205677,5.704511,-16.000000,-50.451147,1.514058
0.050000,9.984119,9.218863,15.470902,4.904511,-16.000000,0.000000,1.529315
0.050000,9.992047,9.443947,15.696128,4.104511,-16.000000,0.000000,1.541786
0.050000,9.996496,9.629118,15.881353,3.304511,-16.000000,-0.000000,1.551722
0.050000,9.998712,9.774326,16.026579,2.504511,-16.000000,0.000000,1.559318
0.050000,9.999635,9.879549,16.131805,1.704511,-16.000000,0.000000,1.564719
0.050000,9.999929,9.946619,16.198877,0.978384,-14.522557,29.548853,1.568117
0.050000,9.999992,9.982386,16.234643,0.452256,-10.522557,80.000000,1.569914
0.050000,10.000000,9.996845,16.249103,0.126128,-6.522557,80.000000,1.570639
0.050000,10.000000,10.000000,16.252256,0.000000,-2.522557,80.000000,1.570796
0.050000,10.000000,10.000000,16.252256,0.000000,0.000000,50.451147,1.570796
