dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.000813,-1.085000,0.005000,0.200000,4.000000,80.000000,6.282436
0.050000,0.005273,-1.084999,0.011086,0.121729,-1.565413,-111.308257,0.000250
0.050000,0.052725,-1.084934,0.058538,0.949040,16.546210,362.232462,0.002510
0.050000,0.137123,-1.084551,0.142938,1.687982,14.778834,-35.347534,0.006564
0.050000,0.263817,-1.083330,0.269636,2.533979,16.919945,42.822236,0.012738
0.050000,0.432916,-1.080467,0.438760,3.382470,16.969828,0.997656,0.021148
0.050000,0.644563,-1.074852,0.650481,4.234430,17.039191,1.387255,0.031954
0.050000,0.898929,-1.065023,0.905038,5.091125,17.133898,1.894145,0.045370
0.050000,1.196185,-1.049115,1.202719,5.953623,17.249971,2.321461,0.061670
0.050000,1.536505,-1.024789,1.543907,6.823756,17.402647,3.053526,0.081202
0.050000,1.914684,-0.989694,1.923711,7.596089,15.446669,-39.119566,0.104071
0.050000,2.320066,-0.942074,2.331881,8.163392,11.346051,-82.012355,0.130044
0.050000,2.741820,-0.880799,2.758062,8.523630,7.204775,-82.825537,0.158798
0.050000,3.168951,-0.805641,3.191756,8.673873,3.004855,-83.998397,0.189867
0.050000,3.595669,-0.716345,3.627717,8.719218,0.906893,-41.959235,0.223030
0.050000,4.021412,-0.611912,4.066080,8.767270,0.961044,1.083030,0.258410
0.050000,4.445481,-0.491307,4.506967,8.817730,1.009206,0.963225,0.296116
0.050000,4.867024,-0.353485,4.950467,8.870013,1.045663,0.729154,0.336238
0.050000,5.285015,-0.197416,5.396645,8.923553,1.070795,0.502641,0.378828
0.050000,5.698235,-0.022136,5.845503,8.977168,1.072289,0.029873,0.423895
0.050000,6.105272,0.173214,6.296990,9.029736,1.051367,-0.418444,0.471386
0.050000,6.504516,0.389315,6.750968,9.079550,0.996289,-1.101553,0.521179
0.050000,6.894195,0.626613,7.207213,9.124901,0.907018,-1.785429,0.573065
0.050000,7.272412,0.885248,7.665405,9.163849,0.778957,-2.561222,0.626750
0.050000,7.637218,1.165009,8.125133,9.194557,0.614148,-3.296167,0.681852
0.050000,7.986698,1.465295,8.585902,9.215374,0.416358,-3.955814,0.737916
0.050000,8.319069,1.785118,9.047158,9.225132,0.195145,-4.424254,0.794431
0.050000,8.632783,2.123134,9.508322,9.223265,-0.037343,-4.649759,0.850859
0.050000,8.926603,2.477711,9.968816,9.209882,-0.267650,-4.606137,0.906669
0.050000,9.199664,2.847012,10.428103,9.185753,-0.482576,-4.298519,0.961365
0.050000,9.451490,3.229100,10.885714,9.152219,-0.670686,-3.762211,1.014513
0.050000,9.681987,3.622036,11.341266,9.111042,-0.823535,-3.056982,1.065759
0.050000,9.891400,4.023954,11.794468,9.064037,-0.940112,-2.331540,1.114835
0.050000,10.080256,4.433130,12.245125,9.013131,-1.018115,-1.560049,1.161562
0.050000,10.249302,4.848018,12.693130,8.960102,-1.060568,-0.849064,1.205840
0.050000,10.399435,5.267267,13.138450,8.906392,-1.074213,-0.272894,1.247638
0.050000,10.531645,5.689719,13.581107,8.853154,-1.064759,0.189070,1.286981
0.050000,10.646972,6.114407,14.021175,8.801363,-1.035815,0.578885,1.323934
0.050000,10.746459,6.540530,14.458758,8.751657,-0.994121,0.833881,1.358592
0.050000,10.831133,6.967436,14.893980,8.704435,-0.944440,0.993620,1.391073
0.050000,10.901682,7.392627,15.324984,8.620080,-1.687101,-14.853213,1.421365
0.050000,10.958323,7.808382,15.744580,8.391925,-4.563095,-57.519879,1.449152
0.050000,11.001627,8.203758,16.142321,7.954807,-8.742374,-83.585588,1.474025
0.050000,11.032972,8.567991,16.507899,7.311568,-12.864769,-82.447908,1.495694
0.050000,11.054367,8.892430,16.833044,6.502891,-16.173539,-66.175394,1.514058
0.050000,11.068186,9.173869,17.114821,5.635547,-17.346886,-23.466947,1.529315
0.050000,11.076591,9.412475,17.353575,4.775086,-17.209213,2.753463,1.541786
0.050000,11.081299,9.608424,17.549580,3.920106,-17.099605,2.192159,1.551722
0.050000,11.083641,9.761873,17.703047,3.069337,-17.015373,1.684640,1.559318
0.050000,11.084615,9.872955,17.814134,2.221735,-16.952047,1.266519,1.564719
0.050000,11.084925,9.943712,17.884891,1.415140,-16.131904,16.402867,1.568117
0.050000,11.084992,9.981429,17.922609,0.754357,-13.215647,58.325139,1.569914
0.050000,11.085000,9.996674,17.937854,0.304899,-8.989166,84.529625,1.570639
0.050000,11.085000,10.000000,17.941180,0.066514,-4.767700,84.429314,1.570796
0.050000,11.085000,10.000000,17.941180,0.000000,-1.330279,68.748420,1.570796
