dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.233402,10.628717,0.000366,0.036585,1.829268,91.463415,0.016484
0.020000,5.233409,10.628717,0.000373,0.000374,-1.810589,-181.992881,0.016477
0.020000,5.233426,10.628717,0.000390,0.000842,0.023411,91.700026,0.016459
0.020000,5.233456,10.628718,0.000420,0.001501,0.032950,0.476963,0.016427
0.020000,5.236312,10.628765,0.003277,0.142837,7.066813,351.693106,0.016377
0.020000,5.249550,10.628981,0.016516,0.661952,25.955751,944.446927,0.016304
0.020000,5.267200,10.629268,0.034169,0.882647,11.034729,-746.051122,0.016206
0.020000,5.289265,10.629624,0.056236,1.103379,11.036612,0.094155,0.016082
0.020000,5.315745,10.630048,0.082720,1.324156,11.038836,0.111229,0.015932
0.020000,5.346641,10.630537,0.113619,1.544989,11.041658,0.141097,0.015753
0.020000,5.381954,10.631090,0.148937,1.765886,11.044867,0.160457,0.015545
0.020000,5.421686,10.631703,0.188674,1.986857,11.048554,0.184304,0.015305
0.020000,5.465840,10.632373,0.232833,2.207915,11.052874,0.216008,0.015033
0.020000,5.514415,10.633096,0.281414,2.429061,11.057331,0.222852,0.014726
0.020000,5.567416,10.633867,0.334420,2.650314,11.062620,0.264471,0.014382
0.020000,5.624844,10.634682,0.391854,2.871677,11.068177,0.277823,0.013999
0.020000,5.686701,10.635535,0.453717,3.093158,11.074018,0.292047,0.013573
0.020000,5.752991,10.636419,0.520012,3.314776,11.080924,0.345342,0.013103
0.020000,5.823716,10.637328,0.590743,3.536530,11.087675,0.337550,0.012586
0.020000,5.898879,10.638253,0.665912,3.758437,11.095347,0.383589,0.012017
0.020000,5.978483,10.639185,0.745522,3.980500,11.103198,0.392539,0.011394
0.020000,6.062533,10.640114,0.829576,4.202736,11.111785,0.429344,0.010713
0.020000,6.151031,10.641030,0.918079,4.425149,11.120642,0.442861,0.009970
0.020000,6.243982,10.641919,1.011034,4.647750,11.130055,0.470654,0.009162
0.020000,6.341389,10.642769,1.108445,4.870559,11.140454,0.519956,0.008283
0.020000,6.443257,10.643564,1.210317,5.093569,11.150493,0.501924,0.007331
0.020000,6.549591,10.644289,1.316653,5.316802,11.161635,0.557119,0.006298
0.020000,6.660394,10.644926,1.427458,5.540262,11.173032,0.569841,0.005182
0.020000,6.775673,10.645454,1.542738,5.763973,11.185507,0.623780,0.003977
0.020000,6.895431,10.645853,1.662496,5.987926,11.197668,0.608047,0.002677
0.020000,7.019673,10.646099,1.786739,6.212146,11.210984,0.665794,0.001277
0.020000,7.148406,10.646167,1.915472,6.436636,11.224504,0.675964,6.282956
0.020000,7.281634,10.646030,2.048700,6.661420,11.239214,0.735545,6.281338
0.020000,7.419364,10.645656,2.186430,6.886492,11.253614,0.719973,6.279601
0.020000,7.561600,10.645015,2.328667,7.111876,11.269198,0.779196,6.277740
0.020000,7.708348,10.644071,2.475419,7.337576,11.284974,0.788819,6.275747
0.020000,7.859615,10.642785,2.626691,7.563622,11.302323,0.867446,6.273615
