dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.248896,9.688845,0.000360,0.036000,1.800000,90.000000,0.016484
0.020000,5.248896,9.688845,0.001800,0.108000,3.600000,90.000000,0.016477
0.020000,5.248896,9.688845,0.005040,0.216000,5.400000,90.000000,0.016459
0.020000,5.248896,9.688845,0.010800,0.360000,7.200000,90.000000,0.016428
0.020000,5.251384,9.688885,0.019800,0.540000,9.000000,90.000000,0.016378
0.020000,5.263982,9.689091,0.032400,0.720000,9.000000,-0.000000,0.016309
0.020000,5.280180,9.689355,0.048600,0.900000,9.000000,0.000000,0.016219
0.020000,5.299977,9.689675,0.068400,1.080000,9.000000,0.000000,0.016107
0.020000,5.323374,9.690050,0.091800,1.260000,9.000000,-0.000000,0.015974
0.020000,5.350371,9.690479,0.118800,1.440000,9.000000,0.000000,0.015818
0.020000,5.380967,9.690960,0.149400,1.620000,9.000000,-0.000000,0.015638
0.020000,5.415163,9.691492,0.183600,1.800000,9.000000,0.000000,0.015433
0.020000,5.452959,9.692071,0.221400,1.980000,9.000000,0.000000,0.015201
0.020000,5.494354,9.692695,0.262800,2.160000,9.000000,-0.000000,0.014942
0.020000,5.539349,9.693361,0.307800,2.340000,9.000000,-0.000000,0.014654
0.020000,5.587944,9.694065,0.356400,2.520000,9.000000,0.000000,0.014336
0.020000,5.640139,9.694804,0.408600,2.700000,9.000000,0.000000,0.013984
0.020000,5.695933,9.695574,0.464400,2.880000,9.000000,0.000000,0.013598
0.020000,5.755328,9.696369,0.523800,3.060000,9.000000,-0.000000,0.013176
0.020000,5.818323,9.697185,0.586800,3.240000,9.000000,0.000000,0.012714
0.020000,5.884918,9.698015,0.653400,3.420000,9.000000,0.000000,0.012212
0.020000,5.955113,9.698853,0.723600,3.600000,9.000000,0.000000,0.011665
0.020000,6.028908,9.699692,0.797400,3.780000,9.000000,0.000000,0.011073
0.020000,6.106303,9.700524,0.874800,3.960000,9.000000,0.000000,0.010431
0.020000,6.187299,9.701341,0.955800,4.140000,9.000000,-0.000000,0.009738
0.020000,6.271895,9.702134,1.040400,4.320000,9.000000,0.000000,0.008989
0.020000,6.360092,9.702891,1.128600,4.500000,9.000000,-0.000000,0.008182
0.020000,6.451890,9.703602,1.220400,4.680000,9.000000,0.000000,0.007314
0.020000,6.547287,9.704256,1.315800,4.860000,9.000000,0.000000,0.006380
0.020000,6.646286,9.704838,1.414800,5.040000,9.000000,-0.000000,0.005378
0.020000,6.748884,9.705335,1.517400,5.220000,9.000000,0.000000,0.004304
0.020000,6.855084,9.705732,1.623600,5.400000,9.000000,-0.000000,0.003153
0.020000,6.964883,9.706010,1.733400,5.580000,9.000000,0.000000,0.001921
0.020000,7.078283,9.706154,1.846800,5.760000,9.000000,-0.000000,0.000605
0.020000,7.195283,9.706143,1.963800,5.940000,9.000000,0.000000,6.282385
0.020000,7.315883,9.705957,2.084400,6.120000,9.000000,0.000000,6.280885
0.020000,7.440082,9.705572,2.208600,6.300000,9.000000,0.000000,6.279287
0.020000,7.567881,9.704966,2.336400,6.480000,9.000000,-0.000000,6.277586
0.020000,7.699278,9.704112,2.467800,6.660000,9.000000,0.000000,6.275776
0.020000,7.834273,9.702983,2.602800,6.840000,9.000000,-0.000000,6.273852
0.020000,7.972866,9.701548,2.741400,7.020000,9.000000,0.000000,6.271809
0.020000,8.115055,9.699777,2.883600,7.200000,9.000000,-0.000000,6.269641
0.020000,8.260839,9.697636,3.029400,7.380000,9.000000,0.000000,6.267343
0.020000,8.410217,9.695088,3.178800,7.560000,9.000000,0.000000,6.264907
0.020000,8.563188,9.692096,3.331800,7.740000,9.000000,-0.000000,6.262329
0.020000,8.719749,9.688618,3.488400,7.920000,9.000000,0.000000,6.259601
0.020000,8.879899,9.684610,3.648600,8.100000,9.000000,-0.000000,6.256718
0.020000,9.043635,9.680027,3.812400,8.280000,9.000000,0.000000,6.253672
0.020000,9.210954,9.674820,3.979800,8.460000,9.000000,0.000000,6.250456
0.020000,9.381853,9.668936,4.150800,8.640000,9.000000,-0.000000,6.247064
0.020000,9.555967,9.662334,4.325040,8.784000,7.200000,-90.000000,6.243494
0.020000,9.732575,9.654992,4.501800,8.892000,5.400000,-90.000000,6.239757
0.020000,9.910951,9.646894,4.680360,8.964000,3.600000,-90.000000,6.235861
0.020000,10.090372,9.638036,4.860000,9.000000,1.800000,-90.000000,6.231821
0.020000,10.270115,9.628421,5.040000,9.000000,0.000000,-90.000000,6.227648
0.020000,10.449816,9.618045,5.220000,9.000000,0.000000,0.000000,6.223352
0.020000,10.629469,9.606886,5.400000,9.000000,0.000000,0.000000,6.218931
0.020000,10.809071,9.594922,5.580000,9.000000,0.000000,0.000000,6.214385
0.020000,10.988616,9.582130,5.760000,9.000000,0.000000,0.000000,6.209713
0.020000,11.168098,9.568489,5.940000,9.000000,0.000000,0.000000,6.204916
0.020000,11.347512,9.553975,6.120000,9.000000,0.000000,0.000000,6.199992
0.020000,11.526851,9.538566,6.300000,9.000000,0.000000,0.000000,6.194941
0.020000,11.706109,9.522240,6.480000,9.000000,0.000000,0.000000,6.189763
0.020000,11.885279,9.504975,6.660000,9.000000,0.000000,0.000000,6.184457
0.020000,12.064353,9.486748,6.840000,9.000000,0.000000,0.000000,6.179023
0.020000,12.243325,9.467537,7.020000,9.000000,0.000000,0.000000,6.173461
0.020000,12.422185,9.447320,7.200000,9.000000,0.000000,0.000000,6.167771
0.020000,12.600927,9.426073,7.380000,9.000000,0.000000,0.000000,6.161953
0.020000,12.779540,9.403775,7.560000,9.000000,0.000000,0.000000,6.156006
