dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.264391,8.748972,0.000360,0.036000,1.800000,90.000000,0.016484
0.020000,5.264384,8.748972,0.000367,0.000368,-1.781620,-179.081005,0.016477
0.020000,5.264367,8.748972,0.000384,0.000828,0.023035,90.232774,0.016459
0.020000,5.264338,8.748971,0.000413,0.001477,0.032419,0.469169,0.016428
0.020000,5.266779,8.749011,0.002855,0.122065,6.029440,299.851054,0.016378
0.020000,5.279312,8.749216,0.015389,0.626733,25.233379,960.196973,0.016309
0.020000,5.295425,8.749478,0.031505,0.805763,8.951491,-814.094420,0.016219
0.020000,5.315117,8.749797,0.051200,0.984763,8.949992,-0.074947,0.016107
0.020000,5.338389,8.750170,0.074475,1.163732,8.948484,-0.075387,0.015974
0.020000,5.365239,8.750597,0.101328,1.342656,8.946203,-0.114046,0.015818
0.020000,5.395666,8.751075,0.131758,1.521538,8.944094,-0.105468,0.015638
0.020000,5.429669,8.751604,0.165766,1.700364,8.941288,-0.140323,0.015433
0.020000,5.467247,8.752179,0.203348,1.879131,8.938336,-0.147583,0.015201
0.020000,5.508399,8.752800,0.244505,2.057833,8.935126,-0.160477,0.014942
0.020000,5.553124,8.753462,0.289234,2.236464,8.931523,-0.180185,0.014654
0.020000,5.601419,8.754162,0.337535,2.415016,8.927620,-0.195115,0.014336
0.020000,5.653283,8.754896,0.389404,2.593483,8.923321,-0.214960,0.013984
0.020000,5.708715,8.755661,0.444841,2.771858,8.918757,-0.228201,0.013598
0.020000,5.767713,8.756451,0.503844,2.950138,8.914034,-0.236137,0.013176
0.020000,5.830274,8.757261,0.566410,3.128311,8.908650,-0.269231,0.012714
0.020000,5.896396,8.758085,0.632538,3.306379,8.903366,-0.264168,0.012212
0.020000,5.966078,8.758917,0.702225,3.484325,8.897310,-0.302840,0.011665
0.020000,6.039316,8.759750,0.775468,3.662149,8.891196,-0.305692,0.011073
0.020000,6.116108,8.760575,0.852264,3.839847,8.884883,-0.315653,0.010431
0.020000,6.196452,8.761386,0.932612,4.017401,8.877728,-0.357749,0.009738
0.020000,6.280345,8.762172,1.016509,4.194815,8.870705,-0.351158,0.008989
0.020000,6.367783,8.762922,1.103950,4.372081,8.863291,-0.370686,0.008182
0.020000,6.458764,8.763628,1.194934,4.549188,8.855341,-0.397497,0.007314
0.020000,6.553285,8.764275,1.289457,4.726127,8.846950,-0.419552,0.006380
0.020000,6.651341,8.764852,1.387515,4.902902,8.838777,-0.408630,0.005378
0.020000,6.752930,8.765344,1.489105,5.079495,8.829629,-0.457419,0.004304
0.020000,6.858047,8.765736,1.594223,5.255900,8.820276,-0.467638,0.003153
0.020000,6.966689,8.766012,1.702865,5.432119,8.810931,-0.467278,0.001921
0.020000,7.078852,8.766154,1.815028,5.608131,8.800585,-0.517253,0.000605
0.020000,7.194530,8.766143,1.930706,5.783941,8.790493,-0.504640,6.282385
0.020000,7.313721,8.765959,2.049897,5.959530,8.779480,-0.550638,6.280885
0.020000,7.436418,8.765579,2.172595,6.134897,8.768315,-0.558224,6.279287
0.020000,7.562618,8.764981,2.298796,6.310036,8.756960,-0.567764,6.277586
0.020000,7.692313,8.764138,2.428494,6.484931,8.744780,-0.608993,6.275776
0.020000,7.825500,8.763024,2.561686,6.659584,8.732655,-0.606246,6.273852
0.020000,7.962173,8.761609,2.698366,6.833976,8.719579,-0.653807,6.271809
0.020000,8.102324,8.759864,2.838528,7.008102,8.706313,-0.663315,6.269641
0.020000,8.245948,8.757754,2.982167,7.181968,8.693261,-0.652606,6.267343
0.020000,8.393037,8.755245,3.129278,7.355534,8.678341,-0.745980,6.264907
0.020000,8.543585,8.752300,3.279854,7.528818,8.664191,-0.707504,6.262329
0.020000,8.697583,8.748879,3.433890,7.701805,8.649330,-0.743056,6.259601
0.020000,8.855023,8.744940,3.591380,7.874478,8.633679,-0.782551,6.256718
0.020000,9.015896,8.740437,3.752316,8.046827,8.617423,-0.812790,6.253672
0.020000,9.180194,8.735323,3.916693,8.218858,8.601562,-0.793059,6.250456
0.020000,9.347906,8.729549,4.084504,8.390545,8.584357,-0.860276,6.247064
0.020000,9.518668,8.723075,4.255389,8.544233,7.684416,-44.997044,6.243494
0.020000,9.691765,8.715879,4.428636,8.662338,5.905212,-88.960183,6.239757
0.020000,9.866483,8.707947,4.603534,8.744913,4.128779,-88.821627,6.235861
0.020000,10.042111,8.699275,4.779375,8.792072,2.357940,-88.541989,6.231821
0.020000,10.217937,8.689870,4.955453,8.803893,0.591022,-88.345878,6.227648
0.020000,10.393606,8.679727,5.131415,8.798067,-0.291272,-44.114684,6.223352
0.020000,10.569112,8.668826,5.307259,8.792207,-0.293013,-0.087071,6.218931
0.020000,10.744450,8.657146,5.482985,8.786336,-0.293533,-0.025984,6.214385
0.020000,10.919614,8.644666,5.658594,8.780424,-0.295598,-0.103272,6.209713
0.020000,11.094600,8.631366,5.834084,8.774510,-0.295690,-0.004613,6.204916
0.020000,11.269400,8.617226,6.009455,8.768558,-0.297625,-0.096739,6.199992
