dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.381586,3.181277,0.002500,0.100000,2.000000,40.000000,6.282074
0.050000,0.381136,3.181278,0.002951,0.009014,-1.819729,-76.394583,0.000156
0.050000,0.391343,3.181290,0.013158,0.204140,3.902521,114.445011,0.002270
0.050000,0.405630,3.181344,0.027445,0.285751,1.632222,-45.405987,0.005231
0.050000,0.423996,3.181475,0.045812,0.367333,1.631651,-0.011421,0.009040
0.050000,0.446440,3.181730,0.068257,0.448895,1.631237,-0.008271,0.013699
0.050000,0.472957,3.182166,0.094778,0.530431,1.630715,-0.010440,0.019210
0.050000,0.503546,3.182851,0.125374,0.611921,1.629807,-0.018161,0.025573
0.050000,0.538202,3.183863,0.160045,0.693416,1.629890,0.001656,0.032788
0.050000,0.576921,3.185289,0.198791,0.774912,1.629925,0.000688,0.040857
0.050000,0.619700,3.187229,0.241614,0.856459,1.630934,0.020184,0.049776
0.050000,0.666534,3.189791,0.288517,0.938075,1.632329,0.027897,0.059541
0.050000,0.717419,3.193096,0.339509,1.019836,1.635218,0.057780,0.070148
0.050000,0.772349,3.197271,0.394598,1.101784,1.638968,0.075005,0.081586
0.050000,0.831322,3.202458,0.453799,1.184007,1.644458,0.109793,0.093843
0.050000,0.894333,3.208804,0.517128,1.266594,1.651742,0.145687,0.106903
0.050000,0.961379,3.216469,0.584611,1.349657,1.661260,0.190354,0.120743
0.050000,1.032457,3.225620,0.656276,1.433295,1.672751,0.229833,0.135337
0.050000,1.107565,3.236435,0.732159,1.517658,1.687257,0.290125,0.150652
0.050000,1.186703,3.249098,0.812304,1.602896,1.704758,0.350013,0.166647
0.050000,1.269871,3.263801,0.896761,1.689153,1.725141,0.407658,0.183275
0.050000,1.357071,3.280744,0.985591,1.776601,1.748964,0.476470,0.200481
0.050000,1.448305,3.300130,1.078863,1.865425,1.776485,0.550409,0.218202
0.050000,1.543578,3.322168,1.176652,1.955779,1.807085,0.612007,0.236368
0.050000,1.642897,3.347072,1.279044,2.047856,1.841530,0.688891,0.254898
0.050000,1.746267,3.375053,1.386135,2.141808,1.879044,0.750294,0.273707
0.050000,1.853698,3.406325,1.498025,2.237802,1.919876,0.816633,0.292701
0.050000,1.965200,3.441098,1.614824,2.335974,1.963442,0.871324,0.311779
0.050000,2.080786,3.479579,1.736646,2.436450,2.009520,0.921543,0.330835
0.050000,2.200468,3.521966,1.863613,2.539328,2.057557,0.960744,0.349758
0.050000,2.324263,3.568447,1.995847,2.644684,2.107116,0.991183,0.368434
0.050000,2.452192,3.619201,2.133475,2.752569,2.157712,1.011931,0.386747
0.050000,2.584277,3.674388,2.276626,2.863011,2.208839,1.022542,0.404579
0.050000,2.720548,3.734152,2.425426,2.976014,2.260057,1.024358,0.421812
0.050000,2.861043,3.798617,2.580005,3.091563,2.310978,1.018415,0.438328
0.050000,3.005806,3.867885,2.740486,3.209630,2.361348,1.007403,0.454012
0.050000,3.154894,3.942031,2.906995,3.330178,2.410941,0.991850,0.468749
0.050000,3.308381,4.021105,3.079653,3.453165,2.459745,0.976093,0.482427
0.050000,3.466354,4.105127,3.258581,3.578553,2.507768,0.960460,0.494935
0.050000,3.628923,4.194085,3.443897,3.706317,2.555271,0.950058,0.506163
0.050000,3.796219,4.287934,3.635719,3.836442,2.602507,0.944720,0.516004
0.050000,3.968403,4.386595,3.834166,3.968939,2.649942,0.948692,0.524347
0.050000,4.145664,4.489949,4.039358,4.103841,2.698041,0.961974,0.531082
0.050000,4.328228,4.597839,4.251419,4.241215,2.747466,0.988505,0.536095
0.050000,4.516358,4.710060,4.470476,4.381156,2.798834,1.027371,0.539268
0.050000,4.710358,4.826360,4.696666,4.523799,2.852851,1.080330,0.540475
0.050000,4.910578,4.946435,4.930132,4.669309,2.910194,1.146873,0.539585
0.050000,5.117417,5.069917,5.171026,4.817884,2.971507,1.226241,0.536457
0.050000,5.331324,5.196368,5.419513,4.969750,3.037322,1.316301,0.530938
0.050000,5.552799,5.325273,5.675771,5.125146,3.107926,1.412093,0.522866
0.050000,5.782395,5.456023,5.939987,5.284315,3.183378,1.509032,0.512067
0.050000,6.020713,5.587902,6.212360,5.447471,3.263116,1.594767,0.498357
0.050000,6.268394,5.720068,6.493098,5.614767,3.345923,1.656132,0.481544
0.050000,6.526110,5.851538,6.782411,5.786249,3.429645,1.674442,0.461436
0.050000,6.794539,5.981164,7.080500,5.961783,3.510672,1.620535,0.437845
0.050000,7.074340,6.107618,7.387549,6.140977,3.583875,1.464062,0.410603
