dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.380380,2.096277,0.002500,0.100000,2.000000,40.000000,6.282074
0.050000,0.381305,2.096278,0.010000,0.200000,2.000000,0.000000,0.000156
0.050000,0.393806,2.096293,0.022500,0.300000,2.000000,0.000000,0.002270
0.050000,0.411306,2.096358,0.040000,0.400000,2.000000,-0.000000,0.005231
0.050000,0.433805,2.096519,0.062500,0.500000,2.000000,0.000000,0.009040
0.050000,0.461303,2.096832,0.090000,0.600000,2.000000,-0.000000,0.013699
0.050000,0.493799,2.097366,0.122500,0.700000,2.000000,0.000000,0.019210
0.050000,0.531289,2.098206,0.160000,0.800000,2.000000,-0.000000,0.025573
0.050000,0.573771,2.099446,0.202500,0.900000,2.000000,0.000000,0.032788
0.050000,0.621238,2.101194,0.250000,1.000000,2.000000,0.000000,0.040857
0.050000,0.673685,2.103573,0.302500,1.100000,2.000000,0.000000,0.049776
0.050000,0.731098,2.106714,0.360000,1.200000,2.000000,-0.000000,0.059541
0.050000,0.793467,2.110764,0.422500,1.300000,2.000000,0.000000,0.070148
0.050000,0.860772,2.115880,0.490000,1.400000,2.000000,0.000000,0.081586
0.050000,0.932993,2.122232,0.562500,1.500000,2.000000,-0.000000,0.093843
0.050000,1.010102,2.129998,0.640000,1.600000,2.000000,0.000000,0.106903
0.050000,1.092068,2.139368,0.722500,1.700000,2.000000,0.000000,0.120743
0.050000,1.178850,2.150542,0.810000,1.800000,2.000000,-0.000000,0.135337
0.050000,1.270405,2.163725,0.902500,1.900000,2.000000,0.000000,0.150652
0.050000,1.366680,2.179129,1.000000,2.000000,2.000000,0.000000,0.166647
0.050000,1.467613,2.196973,1.102500,2.100000,2.000000,0.000000,0.183275
0.050000,1.573138,2.217475,1.210000,2.200000,2.000000,0.000000,0.200481
0.050000,1.683180,2.240857,1.322500,2.300000,2.000000,-0.000000,0.218202
0.050000,1.797656,2.267337,1.440000,2.400000,2.000000,0.000000,0.236368
0.050000,1.916476,2.297129,1.562500,2.500000,2.000000,0.000000,0.254898
0.050000,2.039545,2.330441,1.690000,2.600000,2.000000,0.000000,0.273707
0.050000,2.166764,2.367472,1.822500,2.700000,2.000000,0.000000,0.292701
0.050000,2.298027,2.408407,1.960000,2.800000,2.000000,0.000000,0.311779
0.050000,2.433229,2.453417,2.102500,2.900000,2.000000,0.000000,0.330835
0.050000,2.572265,2.502656,2.250000,3.000000,2.000000,-0.000000,0.349758
0.050000,2.715032,2.556259,2.402500,3.100000,2.000000,0.000000,0.368434
0.050000,2.861430,2.614338,2.560000,3.200000,2.000000,0.000000,0.386747
0.050000,3.011368,2.676982,2.722500,3.300000,2.000000,0.000000,0.404579
0.050000,3.164763,2.744254,2.890000,3.400000,2.000000,0.000000,0.421812
0.050000,3.321545,2.816190,3.062500,3.500000,2.000000,0.000000,0.438328
0.050000,3.481659,2.892801,3.240000,3.600000,2.000000,-0.000000,0.454012
0.050000,3.645065,2.974066,3.422500,3.700000,2.000000,0.000000,0.468749
0.050000,3.811745,3.059934,3.610000,3.800000,2.000000,-0.000000,0.482427
0.050000,3.981701,3.150327,3.802500,3.900000,2.000000,0.000000,0.494935
0.050000,4.154958,3.245132,4.000000,4.000000,2.000000,-0.000000,0.506163
0.050000,4.331567,3.344203,4.202500,4.100000,2.000000,0.000000,0.516004
0.050000,4.511606,3.447364,4.410000,4.200000,2.000000,-0.000000,0.524347
0.050000,4.695181,3.554398,4.622500,4.300000,2.000000,0.000000,0.531082
