dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.379589,1.011278,0.004762,0.190476,3.809524,76.190476,6.282456
0.050000,0.397819,1.011299,0.022992,0.364596,3.482393,-6.542625,0.002492
0.050000,0.448546,1.011610,0.073719,1.014555,12.999177,190.335693,0.009746
0.050000,0.533102,1.012946,0.158286,1.691334,13.535587,10.728191,0.021855
0.050000,0.651468,1.016538,0.276707,2.368420,13.541716,0.122584,0.038834
0.050000,0.803543,1.024111,0.428970,3.045261,13.536823,-0.097867,0.060673
0.050000,0.989068,1.037864,0.615005,3.720687,13.508520,-0.566048,0.087306
0.050000,1.207532,1.060437,0.834632,4.392549,13.437237,-1.425674,0.118571
0.050000,1.458071,1.094827,1.087520,5.057759,13.304197,-2.660797,0.154161
0.050000,1.739364,1.144257,1.373122,5.712050,13.085835,-4.367235,0.193575
0.050000,2.049574,1.211985,1.690640,6.350358,12.766146,-6.393780,0.236076
0.050000,2.386348,1.301059,2.038995,6.967086,12.334576,-8.631403,0.280669
0.050000,2.746906,1.414042,2.416841,7.556923,11.796728,-10.756962,0.326113
0.050000,3.128236,1.552765,2.822620,8.115577,11.173085,-12.472853,0.370971
0.050000,3.522510,1.715998,3.249347,8.534549,8.379431,-55.873079,0.413189
0.050000,3.918199,1.898614,3.685144,8.715935,3.627732,-95.033989,0.450594
0.050000,4.305584,2.093779,4.118914,8.675402,-0.810673,-88.768086,0.481734
0.050000,4.680993,2.296179,4.545409,8.529895,-2.910133,-41.989210,0.506163
0.050000,5.045811,2.502931,4.964740,8.386627,-2.865352,0.895633,0.523985
0.050000,5.401503,2.711419,5.377031,8.245821,-2.816119,0.984651,0.535316
0.050000,5.749525,2.919232,5.782377,8.106925,-2.777935,0.763686,0.540243
0.050000,6.091264,3.124107,6.180824,7.968928,-2.759933,0.360037,0.538811
0.050000,6.427996,3.323879,6.572355,7.830630,-2.765967,-0.120686,0.531007
0.050000,6.760857,3.516434,6.956899,7.690882,-2.794948,-0.579626,0.516765
0.050000,7.090827,3.699689,7.334341,7.548843,-2.840777,-0.916562,0.495981
0.050000,7.418714,3.871586,7.704555,7.404266,-2.891550,-1.015478,0.468538
0.050000,7.745151,4.030106,8.067446,7.257831,-2.928690,-0.742797,0.434353
0.050000,8.070614,4.173314,8.423022,7.111516,-2.926298,0.047848,0.393432
0.050000,8.395441,4.299416,8.771468,6.968917,-2.851999,1.485984,0.345947
0.050000,8.755938,4.425993,9.153541,7.641467,13.451015,326.060266,0.336270
0.050000,9.131740,4.556967,9.551512,7.959423,6.359107,-141.838154,0.334400
0.050000,9.507555,4.687108,9.949223,7.954207,-0.104303,-129.268200,0.332290
0.050000,9.883412,4.816325,10.346672,7.948990,-0.104344,-0.000824,0.329940
0.050000,10.259341,4.944530,10.743861,7.943771,-0.104381,-0.000736,0.327349
0.050000,10.635369,5.071630,11.140788,7.938551,-0.104411,-0.000596,0.324517
0.050000,11.011523,5.197538,11.537455,7.933329,-0.104430,-0.000393,0.321445
0.050000,11.387829,5.322162,11.933860,7.928107,-0.104437,-0.000123,0.318132
0.050000,11.764312,5.445411,12.330005,7.922886,-0.104426,0.000222,0.314578
0.050000,12.140997,5.567197,12.725888,7.917666,-0.104393,0.000648,0.310784
0.050000,12.517908,5.687428,13.121510,7.912450,-0.104335,0.001156,0.306750
0.050000,12.895066,5.806014,13.516872,7.907237,-0.104247,0.001757,0.302476
0.050000,13.272493,5.922865,13.911974,7.902031,-0.104125,0.002457,0.297961
0.050000,13.650209,6.037889,14.306815,7.896833,-0.103962,0.003257,0.293207
0.050000,14.028233,6.150997,14.701398,7.891645,-0.103754,0.004163,0.288214
0.050000,14.406581,6.262099,15.095721,7.886471,-0.103495,0.005181,0.282983
0.050000,14.785271,6.371102,15.489787,7.881312,-0.103179,0.006314,0.277514
0.050000,15.164316,6.477919,15.883595,7.876172,-0.102801,0.007555,0.271808
0.050000,15.542379,6.582590,16.275881,7.845707,-0.609286,-10.129693,0.275501
0.050000,15.956634,6.706727,16.708336,8.649100,16.067848,333.542682,0.305427
0.050000,16.359247,6.838781,17.132051,8.474312,-3.495759,-391.272136,0.327292
0.050000,16.752403,6.975794,17.548398,8.326926,-2.947723,10.960712,0.342362
0.050000,17.137788,7.115323,17.958264,8.197329,-2.591938,7.115702,0.351456
0.050000,17.516685,7.255220,18.362163,8.077971,-2.387150,4.095761,0.355049
0.050000,17.890040,7.393468,18.760291,7.962566,-2.308110,1.580792,0.353324
0.050000,18.258489,7.528058,19.152553,7.845237,-2.346573,-0.769261,0.346192
0.050000,18.622355,7.656878,19.538549,7.719922,-2.506302,-3.194572,0.333288
0.050000,18.981590,7.777607,19.917528,7.579591,-2.806621,-6.006389,0.313919
0.050000,19.335670,7.887602,20.288300,7.415425,-3.283312,-9.533813,0.286991
