dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.380341,3.208362,0.000400,0.040000,2.000000,100.000000,0.061739
0.020000,0.380297,3.208359,0.000444,0.002176,-1.891189,-194.559451,0.061786
0.020000,0.380199,3.208353,0.000541,0.004896,0.135967,101.357803,0.061890
0.020000,0.380026,3.208343,0.000715,0.008700,0.190223,2.712812,0.062075
0.020000,0.379754,3.208326,0.000987,0.013586,0.244279,2.702790,0.062364
0.020000,0.391843,3.209083,0.013100,0.605626,29.602012,1467.886624,0.062780
0.020000,0.410874,3.210285,0.032168,0.953426,17.390003,-610.600430,0.063345
0.020000,0.435730,3.211871,0.057075,1.245348,14.596128,-139.693760,0.064083
0.020000,0.466801,3.213879,0.088211,1.556770,15.571055,48.746382,0.065002
0.020000,0.504086,3.216327,0.125576,1.868258,15.574432,0.168820,0.066103
0.020000,0.547585,3.219234,0.169172,2.179808,15.577500,0.153417,0.067384
0.020000,0.597298,3.222626,0.219001,2.491451,15.582137,0.231828,0.068842
0.020000,0.653226,3.226528,0.275064,2.803178,15.586371,0.211708,0.070477
0.020000,0.715368,3.230971,0.337365,3.115027,15.592438,0.303359,0.072285
0.020000,0.783724,3.235989,0.405905,3.426986,15.597919,0.274066,0.074264
0.020000,0.858293,3.241618,0.480686,3.739082,15.604810,0.344533,0.076411
0.020000,0.939076,3.247897,0.561713,4.051322,15.611990,0.359021,0.078723
0.020000,1.026072,3.254868,0.648987,4.363731,15.620461,0.423528,0.081197
0.020000,1.119280,3.262576,0.742514,4.676310,15.628969,0.425402,0.083829
0.020000,1.218699,3.271070,0.842295,4.989083,15.638629,0.482999,0.086614
0.020000,1.324329,3.280398,0.948336,5.302051,15.648412,0.489148,0.089549
0.020000,1.436168,3.290614,1.060641,5.615242,15.659556,0.557182,0.092629
0.020000,1.554215,3.301772,1.179214,5.928660,15.670908,0.567595,0.095849
0.020000,1.678469,3.313929,1.304061,6.242327,15.683340,0.621610,0.099204
