dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.494181,1.331813,0.000400,0.040000,2.000000,100.000000,0.059441
0.020000,0.494367,1.331824,0.000587,0.009328,-1.533621,-176.681059,0.059640
0.020000,0.494786,1.331849,0.001006,0.020980,0.582634,105.812776,0.060086
0.020000,0.495530,1.331894,0.001752,0.037275,0.814738,11.605203,0.060879
0.020000,0.496691,1.331966,0.002915,0.058183,1.045381,11.532133,0.062117
0.020000,0.510300,1.332826,0.016551,0.681765,31.179137,1506.687775,0.063897
0.020000,0.532125,1.334249,0.038423,1.093616,20.592532,-529.330227,0.066315
0.020000,0.560619,1.336187,0.066982,1.427965,16.717453,-193.753929,0.069463
0.020000,0.596213,1.338733,0.102668,1.784266,17.815052,54.879941,0.073383
0.020000,0.638893,1.341972,0.145470,2.140098,17.791582,-1.173495,0.078066
0.020000,0.688637,1.345999,0.195377,2.495357,17.762978,-1.430199,0.083500
0.020000,0.745422,1.350928,0.252375,2.849916,17.727942,-1.751828,0.089668
0.020000,0.809218,1.356886,0.316449,3.203682,17.688300,-1.982097,0.096556
0.020000,0.879991,1.364012,0.387580,3.556559,17.643857,-2.222164,0.104142
0.020000,0.957701,1.372460,0.465747,3.908372,17.590647,-2.660491,0.112405
0.020000,1.042300,1.382392,0.550927,4.258994,17.531074,-2.978626,0.121321
0.020000,1.133734,1.393983,0.643094,4.608332,17.466926,-3.207390,0.130860
0.020000,1.231946,1.407417,0.742219,4.956279,17.397322,-3.480241,0.140994
0.020000,1.336864,1.422883,0.848272,5.302623,17.317219,-4.005149,0.151689
0.020000,1.448414,1.440577,0.961217,5.647241,17.230879,-4.316978,0.162908
0.020000,1.566514,1.460701,1.081018,5.990078,17.141865,-4.450724,0.174613
0.020000,1.691071,1.483458,1.207637,6.330951,17.043635,-4.911482,0.186762
0.020000,1.821988,1.509051,1.341033,6.669766,16.940782,-5.142628,0.199311
0.020000,1.959159,1.537684,1.481160,7.006383,16.830850,-5.496633,0.212214
0.020000,2.102474,1.569558,1.627976,7.340806,16.721114,-5.486785,0.225423
0.020000,2.251388,1.604766,1.780996,7.650970,15.508217,-60.644840,0.238850
0.020000,2.404947,1.643264,1.939307,7.915576,13.230311,-113.895329,0.252374
0.020000,2.562210,1.684958,2.102004,8.134842,10.963310,-113.350022,0.265883
0.020000,2.722258,1.729703,2.268189,8.309257,8.720739,-112.128579,0.279273
0.020000,2.884193,1.777304,2.436976,8.439315,6.502903,-110.891786,0.292451
0.020000,3.047141,1.827519,2.607485,8.525460,4.307221,-109.784095,0.305333
0.020000,3.210249,1.880059,2.778846,8.568074,2.130709,-108.825585,0.317848
0.020000,3.372696,1.934601,2.950205,8.567927,-0.007335,-106.902193,0.329932
0.020000,3.534083,1.990925,3.121138,8.546647,-1.064020,-52.834269,0.341563
0.020000,3.694420,2.048942,3.291649,8.525565,-1.054098,0.496098,0.352747
0.020000,3.853728,2.108571,3.461750,8.505068,-1.024840,1.462893,0.363495
0.020000,4.012024,2.169729,3.631450,8.484996,-1.003617,1.061148,0.373814
0.020000,4.169329,2.232340,3.800757,8.465342,-0.982659,1.047927,0.383715
0.020000,4.325661,2.296326,3.969678,8.446026,-0.965812,0.842341,0.393206
0.020000,4.481046,2.361615,4.138221,8.427189,-0.941878,1.196687,0.402296
0.020000,4.635506,2.428139,4.306398,8.408822,-0.918313,1.178247,0.410995
0.020000,4.789066,2.495829,4.474215,8.390874,-0.897397,1.045822,0.419312
0.020000,4.941751,2.564622,4.641682,8.373338,-0.876796,1.030025,0.427256
0.020000,5.093586,2.634454,4.808806,8.356207,-0.856599,1.009856,0.434835
0.020000,5.244597,2.705266,4.975596,8.339469,-0.836881,0.985909,0.442058
0.020000,5.394810,2.777000,5.142058,8.323115,-0.817706,0.958720,0.448933
0.020000,5.544252,2.849599,5.308201,8.307132,-0.799131,0.928771,0.455467
0.020000,5.692947,2.923010,5.474031,8.291508,-0.781201,0.896498,0.461670
