dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.221843,3.123211,0.005000,0.200000,4.000000,80.000000,6.269048
0.050000,0.221843,3.123211,0.005000,0.000009,-3.999814,-159.996281,6.269891
0.050000,0.264774,3.122681,0.047934,0.858673,17.173268,423.461642,6.271796
0.050000,0.341067,3.121942,0.124231,1.525944,13.345420,-76.556956,6.275210
0.050000,0.455438,3.121326,0.238604,2.287448,15.230078,37.693150,6.280397
0.050000,0.607795,3.121435,0.390961,3.047148,15.194008,-0.721387,0.004253
0.050000,0.798015,3.123097,0.581188,3.804534,15.147715,-0.925865,0.013263
0.050000,1.025900,3.127381,0.809113,4.558502,15.079362,-1.367056,0.024390
0.050000,1.291192,3.135625,1.074533,5.308411,14.998182,-1.623602,0.037824
0.050000,1.593534,3.149468,1.377192,6.053164,14.895054,-2.062567,0.053804
0.050000,1.927738,3.170551,1.712060,6.697364,12.883997,-40.221137,0.072355
0.050000,2.283859,3.200068,2.069402,7.146853,8.989783,-77.884279,0.093231
0.050000,2.652000,3.238703,2.439565,7.403262,5.128182,-77.232015,0.116116
0.050000,3.022359,3.286458,2.812990,7.468498,1.304729,-76.469070,0.140600
0.050000,3.389900,3.343290,3.184899,7.438171,-0.606551,-38.225604,0.166482
0.050000,3.754215,3.409594,3.555199,7.406003,-0.643361,-0.736201,0.193842
0.050000,4.114869,3.485770,3.923810,7.372209,-0.675869,-0.650162,0.222761
0.050000,4.471376,3.572215,4.290648,7.336763,-0.708923,-0.661072,0.253312
0.050000,4.823218,3.669317,4.655643,7.299897,-0.737316,-0.567866,0.285560
0.050000,5.169837,3.777449,5.018737,7.261881,-0.760325,-0.460167,0.319558
0.050000,5.510644,3.896965,5.379893,7.223125,-0.775117,-0.295841,0.355342
0.050000,5.845021,4.028186,5.739095,7.184049,-0.781529,-0.128248,0.392923
0.050000,6.172332,4.171396,6.096365,7.145398,-0.773009,0.170410,0.432285
0.050000,6.491930,4.326833,6.451758,7.107849,-0.750983,0.440513,0.473374
0.050000,6.803170,4.494684,6.805374,7.072326,-0.710459,0.810479,0.516100
0.050000,7.105422,4.675074,7.157363,7.039783,-0.650855,1.192089,0.560322
0.050000,7.398081,4.868062,7.507925,7.011238,-0.570900,1.599096,0.605859
0.050000,7.680583,5.073640,7.857310,6.987691,-0.470945,1.999106,0.652480
0.050000,7.952413,5.291725,8.205810,6.970013,-0.353563,2.347636,0.699914
0.050000,8.213115,5.522162,8.553757,6.958934,-0.221572,2.639822,0.747859
0.050000,8.462300,5.764719,8.901502,6.954910,-0.080484,2.821761,0.795988
0.050000,8.699646,6.019091,9.249409,6.958128,0.064357,2.896816,0.843970
0.050000,8.924908,6.284902,9.597830,6.968432,0.206083,2.834524,0.891477
0.050000,9.137909,6.561705,9.947101,6.985406,0.339471,2.667759,0.938203
0.050000,9.338550,6.848995,10.297518,7.008339,0.458661,2.383787,0.983873
0.050000,9.526801,7.146212,10.649337,7.036376,0.560750,2.041777,1.028253
0.050000,9.702701,7.452755,11.002762,7.068511,0.642697,1.638946,1.071153
0.050000,9.866356,7.767994,11.357950,7.103756,0.704898,1.244023,1.112432
0.050000,10.017930,8.091280,11.715005,7.141112,0.747118,0.844411,1.151990
0.050000,10.157642,8.421962,12.073991,7.179703,0.771827,0.494164,1.189772
0.050000,10.285759,8.759397,12.434928,7.218751,0.780945,0.182375,1.225756
0.050000,10.402584,9.102955,12.797807,7.257567,0.776322,-0.092461,1.259953
0.050000,10.508455,9.452039,13.162591,7.295698,0.762619,-0.274072,1.292394
0.050000,10.603730,9.806080,13.529228,7.332734,0.740734,-0.437699,1.323132
0.050000,10.688786,10.164542,13.897643,7.368301,0.711336,-0.587959,1.352230
0.050000,10.764008,10.526935,14.267761,7.402348,0.680933,-0.608048,1.379761
0.050000,10.829784,10.892800,14.639491,7.434613,0.645306,-0.712553,1.405804
0.050000,10.886505,11.261726,15.012752,7.465207,0.611876,-0.668588,1.430440
0.050000,10.934305,11.631216,15.385321,7.451383,-0.276483,-17.767179,1.453622
0.050000,10.973043,11.994074,15.750241,7.298413,-3.059403,-55.658410,1.475058
0.050000,11.002900,12.340448,16.097899,6.953151,-6.905234,-76.916624,1.494393
0.050000,11.024645,12.660407,16.418596,6.413942,-10.784188,-77.579080,1.511350
0.050000,11.039564,12.946149,16.704727,5.722622,-13.826391,-60.844048,1.525813
0.050000,11.049237,13.194669,16.953436,4.974177,-14.968902,-22.850219,1.537902
0.050000,11.055127,13.405647,17.164496,4.221202,-15.059493,-1.811839,1.547825
0.050000,11.058416,13.578845,17.337725,3.464584,-15.132369,-1.457504,1.555750
0.050000,11.060041,13.714093,17.472983,2.705164,-15.188401,-1.120644,1.561805
0.050000,11.060706,13.811274,17.570166,1.943646,-15.230350,-0.838976,1.566084
0.050000,11.060913,13.872481,17.631373,1.224152,-14.389890,16.809195,1.568750
0.050000,11.060956,13.904612,17.663505,0.642632,-11.630387,55.190065,1.570141
0.050000,11.060961,13.917209,17.676102,0.251940,-7.813840,76.330944,1.570684
0.050000,11.060961,13.919817,17.678710,0.052153,-3.995741,76.361980,1.570796
0.050000,11.060961,13.919817,17.678710,0.000000,-1.043069,59.053433,1.570796
