dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.206505,2.038319,0.004688,0.187500,3.750000,75.000000,6.269035
0.050000,0.206505,2.038319,0.023438,0.562500,7.500000,75.000000,6.269825
0.050000,0.248044,2.037802,0.065625,1.125000,11.250000,75.000000,6.271611
0.050000,0.323039,2.037053,0.140625,1.875000,15.000000,75.000000,6.274808
0.050000,0.435539,2.036383,0.253125,2.625000,15.000000,0.000000,6.279663
0.050000,0.585537,2.036347,0.403125,3.375000,15.000000,0.000000,0.003060
0.050000,0.773032,2.037706,0.590625,4.125000,15.000000,0.000000,0.011470
0.050000,0.998001,2.041447,0.815625,4.875000,15.000000,0.000000,0.021838
0.050000,1.255711,2.048648,1.073437,5.437500,11.250000,-75.000000,0.034101
0.050000,1.536720,2.060173,1.354687,5.812500,7.500000,-75.000000,0.047966
0.050000,1.831575,2.076549,1.650000,6.000000,3.750000,-75.000000,0.063099
0.050000,2.130817,2.097845,1.950000,6.000000,0.000000,-75.000000,0.079103
0.050000,2.429668,2.124026,2.250000,6.000000,0.000000,0.000000,0.095776
0.050000,2.728029,2.155290,2.550000,6.000000,0.000000,0.000000,0.113150
0.050000,3.025791,2.191841,2.850000,6.000000,0.000000,0.000000,0.131259
0.050000,3.322826,2.233891,3.150000,6.000000,0.000000,0.000000,0.150137
0.050000,3.618993,2.281659,3.450000,6.000000,0.000000,0.000000,0.169819
0.050000,3.914141,2.335369,3.750000,6.000000,0.000000,0.000000,0.190339
0.050000,4.208098,2.395251,4.050000,6.000000,0.000000,0.000000,0.211730
0.050000,4.500677,2.461538,4.350000,6.000000,0.000000,0.000000,0.234023
0.050000,4.791670,2.534466,4.650000,6.000000,0.000000,0.000000,0.257249
0.050000,5.080853,2.614269,4.950000,6.000000,0.000000,0.000000,0.281435
0.050000,5.367978,2.701183,5.250000,6.000000,0.000000,0.000000,0.306601
0.050000,5.652778,2.795436,5.550000,6.000000,0.000000,0.000000,0.332767
0.050000,5.934963,2.897251,5.850000,6.000000,0.000000,0.000000,0.359941
0.050000,6.214222,3.006836,6.150000,6.000000,0.000000,0.000000,0.388128
0.050000,6.490220,3.124386,6.450000,6.000000,0.000000,0.000000,0.417318
0.050000,6.762609,3.250076,6.750000,6.000000,0.000000,0.000000,0.447495
0.050000,7.031015,3.384057,7.050000,6.000000,0.000000,0.000000,0.478628
0.050000,7.295054,3.526448,7.350000,6.000000,0.000000,0.000000,0.510674
0.050000,7.554330,3.677338,7.650000,6.000000,0.000000,0.000000,0.543574
0.050000,7.808438,3.836776,7.950000,6.000000,0.000000,0.000000,0.577256
0.050000,8.056972,4.004769,8.250000,6.000000,0.000000,0.000000,0.611633
0.050000,8.299532,4.181279,8.550000,6.000000,0.000000,0.000000,0.646602
0.050000,8.535725,4.366219,8.850000,6.000000,0.000000,0.000000,0.682050
0.050000,8.765180,4.559457,9.150000,6.000000,0.000000,0.000000,0.717851
0.050000,8.987546,4.760811,9.450000,6.000000,0.000000,0.000000,0.753872
0.050000,9.202506,4.970054,9.750000,6.000000,0.000000,0.000000,0.789973
0.050000,9.409777,5.186915,10.050000,6.000000,0.000000,0.000000,0.826015
0.050000,9.609119,5.411087,10.350000,6.000000,0.000000,0.000000,0.861858
0.050000,9.800337,5.642228,10.650000,6.000000,0.000000,0.000000,0.897366
0.050000,9.983280,5.879972,10.950000,6.000000,0.000000,0.000000,0.932415
0.050000,10.157849,6.123933,11.250000,6.000000,0.000000,0.000000,0.966886
0.050000,10.323989,6.373710,11.550000,6.000000,0.000000,0.000000,1.000678
