dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.191166,0.953427,0.005000,0.200000,4.000000,80.000000,6.269048
0.050000,0.192997,0.953403,0.006831,0.036614,-3.267719,-145.354373,6.269891
0.050000,0.240060,0.952822,0.053898,0.941350,18.094722,427.248816,6.271796
0.050000,0.323762,0.952011,0.137603,1.674104,14.655080,-68.792841,6.275210
0.050000,0.449387,0.951334,0.263231,2.512552,16.768948,42.277364,6.280397
0.050000,0.617025,0.951455,0.430868,3.352743,16.803830,0.697631,0.004253
0.050000,0.826795,0.953288,0.640646,4.195559,16.856311,1.049629,0.013263
0.050000,1.078820,0.958027,0.892717,5.041409,16.917004,1.213845,0.024390
0.050000,1.373251,0.967177,1.187289,5.891456,17.000935,1.678630,0.037824
0.050000,1.710231,0.982608,1.524623,6.746671,17.104303,2.067365,0.053804
0.050000,2.084611,1.006228,1.899747,7.502488,15.116352,-39.759019,0.072355
0.050000,2.485877,1.039492,2.302389,8.052838,11.006994,-82.187169,0.093231
0.050000,2.903406,1.083315,2.722212,8.396455,6.872334,-82.693193,0.116116
0.050000,3.326456,1.137872,3.148765,8.531063,2.692174,-83.603212,0.140600
0.050000,3.749498,1.203293,3.576836,8.561414,0.607005,-41.703372,0.166482
0.050000,4.172224,1.280235,4.006507,8.593428,0.640280,0.665491,0.193842
0.050000,4.594273,1.369388,4.437870,8.627249,0.676436,0.723122,0.222761
0.050000,5.015204,1.471465,4.871000,8.662615,0.707313,0.617542,0.253312
0.050000,5.434496,1.587193,5.305970,8.699401,0.735721,0.568169,0.285560
0.050000,5.851536,1.717307,5.742837,8.737329,0.758558,0.456727,0.319558
0.050000,6.265611,1.862530,6.181640,8.776054,0.774490,0.318647,0.355342
0.050000,6.675893,2.023553,6.622388,8.814970,0.778320,0.076600,0.392923
0.050000,7.081446,2.201012,7.065067,8.853582,0.772250,-0.121403,0.432285
0.050000,7.481216,2.395457,7.509618,8.891019,0.748742,-0.470154,0.473374
0.050000,7.874047,2.607325,7.955941,8.926454,0.708706,-0.800723,0.516100
0.050000,8.258689,2.836902,8.403886,8.958900,0.648919,-1.195740,0.560322
0.050000,8.633827,3.084293,8.853254,8.987356,0.569118,-1.596021,0.605859
0.050000,8.998117,3.349400,9.303796,9.010851,0.469892,-1.984522,0.652480
0.050000,9.350223,3.631897,9.755220,9.028471,0.352409,-2.349650,0.699914
0.050000,9.688868,3.931233,10.207196,9.039526,0.221103,-2.626118,0.747859
0.050000,10.012885,4.246633,10.659373,9.043532,0.080107,-2.819932,0.795988
0.050000,10.321259,4.577123,11.111389,9.040332,-0.064002,-2.882172,0.843970
0.050000,10.613169,4.921570,11.562891,9.030044,-0.205765,-2.835259,0.891477
0.050000,10.888008,5.278718,12.013548,9.013130,-0.338277,-2.650249,0.938203
0.050000,11.145397,5.647245,12.463061,8.990252,-0.457552,-2.385501,0.983873
0.050000,11.385185,6.025807,12.911176,8.962308,-0.558879,-2.026528,1.028253
0.050000,11.607427,6.413082,13.357688,8.930244,-0.641278,-1.647989,1.071153
0.050000,11.812362,6.807808,13.802443,8.895101,-0.702857,-1.231580,1.112432
0.050000,12.000387,7.208805,14.245335,8.857827,-0.745487,-0.852600,1.151990
0.050000,12.172019,7.615000,14.686301,8.819335,-0.769848,-0.487219,1.189772
0.050000,12.327863,8.025428,15.125321,8.780399,-0.778710,-0.177242,1.225756
0.050000,12.468589,8.439235,15.562402,8.741622,-0.775550,0.063201,1.259953
0.050000,12.594901,8.855681,15.997582,8.703596,-0.760516,0.300690,1.292394
0.050000,12.707519,9.274126,16.430917,8.666697,-0.737975,0.450821,1.323132
0.050000,12.807160,9.694020,16.862472,8.631104,-0.711870,0.522086,1.352230
0.050000,12.894531,10.114906,17.292331,8.597173,-0.678604,0.665317,1.379761
0.050000,12.970315,10.536390,17.720573,8.564851,-0.646442,0.643243,1.405804
0.050000,13.035166,10.958152,18.147292,8.534382,-0.609393,0.740992,1.430440
0.050000,13.089425,11.377528,18.570164,8.457428,-1.539071,-18.593565,1.453622
0.050000,13.133106,11.786639,18.981600,8.228725,-4.574055,-60.699677,1.475058
0.050000,13.166570,12.174813,19.371214,7.792272,-8.729056,-83.100025,1.494393
0.050000,13.190812,12.531484,19.728708,7.149893,-12.847592,-82.370711,1.511350
0.050000,13.207369,12.848568,20.046223,6.350301,-15.991840,-62.884974,1.525813
0.050000,13.218063,13.123301,20.321165,5.498822,-17.029585,-20.754885,1.537902
0.050000,13.224554,13.355805,20.553759,4.651894,-16.938558,1.820522,1.547825
0.050000,13.228171,13.546196,20.744185,3.808518,-16.867513,1.420906,1.555750
0.050000,13.229953,13.694582,20.892581,2.967921,-16.811945,1.111369,1.561805
0.050000,13.230682,13.801048,20.999050,2.129385,-16.770715,0.824603,1.566084
0.050000,13.230908,13.868040,21.066043,1.339850,-15.790702,19.600260,1.568750
0.050000,13.230956,13.903189,21.101192,0.702977,-12.737456,61.064910,1.570141
0.050000,13.230961,13.916966,21.114968,0.275525,-8.549042,83.768273,1.570684
0.050000,13.230961,13.919817,21.117820,0.057030,-4.369892,83.583001,1.570796
0.050000,13.230961,13.919817,21.117820,0.000000,-1.140610,64.585648,1.570796
