dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.421417,3.209257,0.000400,0.040000,2.000000,100.000000,6.239515
0.020000,0.421280,3.209263,0.000538,0.006883,-1.655857,-182.792852,6.239662
0.020000,0.420970,3.209276,0.000847,0.015483,0.430015,104.293622,6.239991
0.020000,0.420420,3.209300,0.001398,0.027514,0.601564,8.577429,6.240576
0.020000,0.428664,3.208953,0.009649,0.412564,19.252469,932.545270,6.241491
0.020000,0.441817,3.208413,0.022812,0.658164,12.280022,-348.622374,6.242806
0.020000,0.459721,3.207705,0.040731,0.895933,11.888429,-19.579641,6.244595
0.020000,0.483112,3.206829,0.064137,1.170333,13.720018,91.579422,6.246928
0.020000,0.512357,3.205811,0.093400,1.463147,14.640675,46.032868,6.249840
0.020000,0.547462,3.204702,0.128523,1.756141,14.649738,0.453180,6.253326
0.020000,0.588433,3.203561,0.169510,2.049342,14.660012,0.513683,6.257383
0.020000,0.635276,3.202460,0.216366,2.342788,14.672335,0.616127,6.262004
0.020000,0.687998,3.201480,0.269097,2.636546,14.687867,0.776617,6.267184
0.020000,0.746606,3.200711,0.327710,2.930676,14.706525,0.932887,6.272914
0.020000,0.811109,3.200250,0.392215,3.225239,14.728142,1.080862,6.279186
0.020000,0.881515,3.200209,0.462621,3.520299,14.752996,1.242709,0.002802
0.020000,0.957832,3.200702,0.538940,3.815938,14.781949,1.447638,0.010122
0.020000,1.040069,3.201857,0.621185,4.112260,14.816108,1.707962,0.017946
0.020000,1.128235,3.203806,0.709372,4.409356,14.854816,1.935378,0.026258
0.020000,1.222337,3.206692,0.803518,4.707296,14.897001,2.109253,0.035038
0.020000,1.322382,3.210662,0.903642,5.006220,14.946159,2.457914,0.044267
0.020000,1.428380,3.215871,1.009768,5.306255,15.001766,2.780360,0.053921
0.020000,1.540334,3.222480,1.121917,5.607487,15.061599,2.991653,0.063974
0.020000,1.658253,3.230653,1.240119,5.910084,15.129865,3.413259,0.074397
0.020000,1.782141,3.240560,1.364402,6.214153,15.203440,3.678760,0.085159
0.020000,1.911632,3.252336,1.494428,6.501288,14.356771,-42.333459,0.096195
0.020000,2.045992,3.266065,1.629487,6.752967,12.583949,-88.641080,0.107408
0.020000,2.184482,3.281792,1.768867,6.969001,10.801683,-89.113321,0.118705
0.020000,2.326362,3.299530,1.911852,7.149228,9.011367,-89.515771,0.129997
0.020000,2.470891,3.319253,2.057720,7.293427,7.209949,-90.070925,0.141200
0.020000,2.617326,3.340897,2.205746,7.401305,5.393876,-90.803620,0.152235
0.020000,2.764924,3.364363,2.355198,7.472584,3.563949,-91.496373,0.163030
0.020000,2.912941,3.389513,2.505337,7.506933,1.717455,-92.324707,0.173520
0.020000,3.061004,3.416245,2.655793,7.522830,0.794859,-46.129778,0.183672
0.020000,3.209109,3.444515,2.806572,7.538954,0.806185,0.566290,0.193481
0.020000,3.357255,3.474275,2.957678,7.555271,0.815869,0.484204,0.202942
0.020000,3.505441,3.505477,3.109113,7.571752,0.824022,0.407629,0.212054
0.020000,3.653666,3.538073,3.260880,7.588367,0.830756,0.336738,0.220811
0.020000,3.801933,3.572014,3.412982,7.605091,0.836189,0.271622,0.229213
0.020000,3.950242,3.607251,3.565420,7.621899,0.840412,0.211158,0.237257
0.020000,4.098598,3.643734,3.718195,7.638770,0.843576,0.158206,0.244943
0.020000,4.247003,3.681413,3.871309,7.655686,0.845800,0.111211,0.252268
0.020000,4.395463,3.720237,4.024762,7.672630,0.847175,0.068738,0.259233
0.020000,4.543984,3.760155,4.178553,7.689586,0.847808,0.031658,0.265837
0.020000,4.692572,3.801116,4.332684,7.706542,0.847802,-0.000305,0.272081
0.020000,4.841236,3.843070,4.487154,7.723487,0.847254,-0.027393,0.277964
0.020000,4.989982,3.885965,4.641962,7.740411,0.846212,-0.052117,0.283487
0.020000,5.138822,3.929749,4.797108,7.757308,0.844830,-0.069088,0.288650
0.020000,5.287765,3.974371,4.952592,7.774173,0.843253,-0.078877,0.293455
0.020000,5.436822,4.019780,5.108412,7.791001,0.841410,-0.092122,0.297902
0.020000,5.586004,4.065924,5.264568,7.807790,0.839431,-0.098963,0.301991
