dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.380380,2.270153,0.000400,0.040000,2.000000,100.000000,6.239515
0.020000,0.380380,2.270153,0.002000,0.120000,4.000000,100.000000,6.239662
0.020000,0.380380,2.270153,0.005600,0.240000,6.000000,100.000000,6.239991
0.020000,0.380380,2.270153,0.012000,0.400000,8.000000,100.000000,6.240576
0.020000,0.389483,2.269770,0.022000,0.600000,10.000000,100.000000,6.241491
0.020000,0.403870,2.269179,0.036400,0.840000,12.000000,100.000000,6.242806
0.020000,0.423455,2.268405,0.056000,1.120000,14.000000,100.000000,6.244595
0.020000,0.449037,2.267447,0.081600,1.440000,16.000000,100.000000,6.246928
0.020000,0.481018,2.266334,0.113600,1.760000,16.000000,0.000000,6.249840
0.020000,0.519399,2.265121,0.152000,2.080000,16.000000,0.000000,6.253326
0.020000,0.564181,2.263874,0.196800,2.400000,16.000000,-0.000000,6.257383
0.020000,0.615367,2.262671,0.248000,2.720000,16.000000,0.000000,6.262004
0.020000,0.672957,2.261601,0.305600,3.040000,16.000000,-0.000000,6.267184
0.020000,0.736951,2.260760,0.369600,3.360000,16.000000,0.000000,6.272914
0.020000,0.807350,2.260258,0.440000,3.680000,16.000000,0.000000,6.279186
0.020000,0.884149,2.260212,0.516800,4.000000,16.000000,-0.000000,0.002802
0.020000,0.967347,2.260750,0.600000,4.320000,16.000000,0.000000,0.010122
0.020000,1.056938,2.262008,0.689600,4.640000,16.000000,-0.000000,0.017946
0.020000,1.152915,2.264130,0.785600,4.960000,16.000000,0.000000,0.026258
0.020000,1.255266,2.267269,0.888000,5.280000,16.000000,0.000000,0.035038
0.020000,1.363980,2.271583,0.996800,5.600000,16.000000,-0.000000,0.044267
0.020000,1.479041,2.277238,1.112000,5.920000,16.000000,0.000000,0.053921
0.020000,1.600429,2.284403,1.233600,6.240000,16.000000,0.000000,0.063974
0.020000,1.728122,2.293253,1.361600,6.560000,16.000000,-0.000000,0.074397
0.020000,1.862094,2.303966,1.496000,6.880000,16.000000,0.000000,0.085159
0.020000,2.001916,2.316682,1.636400,7.160000,14.000000,-100.000000,0.096195
0.020000,2.146761,2.331482,1.782000,7.400000,12.000000,-100.000000,0.107408
0.020000,2.295802,2.348407,1.932000,7.600000,10.000000,-100.000000,0.118705
0.020000,2.448215,2.367462,2.085600,7.760000,8.000000,-100.000000,0.129997
0.020000,2.603178,2.388608,2.242000,7.880000,6.000000,-100.000000,0.141200
0.020000,2.759875,2.411769,2.400400,7.960000,4.000000,-100.000000,0.152235
0.020000,2.917494,2.436827,2.560000,8.000000,2.000000,-100.000000,0.163030
0.020000,3.075233,2.463628,2.720000,8.000000,0.000000,-100.000000,0.173520
0.020000,3.232686,2.492057,2.880000,8.000000,0.000000,0.000000,0.183672
0.020000,3.389849,2.522055,3.040000,8.000000,0.000000,0.000000,0.193481
0.020000,3.546714,2.553566,3.200000,8.000000,0.000000,0.000000,0.202942
0.020000,3.703281,2.586532,3.360000,8.000000,0.000000,0.000000,0.212054
0.020000,3.859546,2.620896,3.520000,8.000000,0.000000,0.000000,0.220811
0.020000,4.015511,2.656599,3.680000,8.000000,0.000000,0.000000,0.229213
0.020000,4.171178,2.693584,3.840000,8.000000,0.000000,0.000000,0.237257
0.020000,4.326548,2.731792,4.000000,8.000000,0.000000,0.000000,0.244943
0.020000,4.481628,2.771165,4.160000,8.000000,0.000000,0.000000,0.252268
0.020000,4.636422,2.811645,4.320000,8.000000,0.000000,0.000000,0.259233
0.020000,4.790938,2.853174,4.480000,8.000000,0.000000,0.000000,0.265837
0.020000,4.945184,2.895695,4.640000,8.000000,0.000000,0.000000,0.272081
0.020000,5.099170,2.939151,4.800000,8.000000,0.000000,0.000000,0.277964
0.020000,5.252905,2.983484,4.960000,8.000000,0.000000,0.000000,0.283487
0.020000,5.406401,3.028638,5.120000,8.000000,0.000000,0.000000,0.288650
0.020000,5.559670,3.074556,5.280000,8.000000,0.000000,0.000000,0.293455
0.020000,5.712726,3.121183,5.440000,8.000000,0.000000,0.000000,0.297902
0.020000,5.865581,3.168462,5.600000,8.000000,0.000000,0.000000,0.301991
0.020000,6.018249,3.216339,5.760000,8.000000,0.000000,0.000000,0.305724
0.020000,6.170747,3.264759,5.920000,8.000000,0.000000,0.000000,0.309102
0.020000,6.323089,3.313666,6.080000,8.000000,0.000000,0.000000,0.312125
0.020000,6.475291,3.363007,6.240000,8.000000,0.000000,0.000000,0.314794
0.020000,6.627370,3.412727,6.400000,8.000000,0.000000,0.000000,0.317111
0.020000,6.779342,3.462772,6.560000,8.000000,0.000000,0.000000,0.319075
0.020000,6.931224,3.513089,6.720000,8.000000,0.000000,0.000000,0.320688
0.020000,7.083033,3.563625,6.880000,8.000000,0.000000,0.000000,0.321949
0.020000,7.234788,3.614325,7.040000,8.000000,0.000000,0.000000,0.322860
0.020000,7.386506,3.665136,7.200000,8.000000,0.000000,0.000000,0.323420
0.020000,7.538203,3.716006,7.360000,8.000000,0.000000,0.000000,0.323630
0.020000,7.689899,3.766882,7.520000,8.000000,0.000000,0.000000,0.323490
0.020000,7.841611,3.817709,7.680000,8.000000,0.000000,0.000000,0.322999
0.020000,7.993357,3.868436,7.840000,8.000000,0.000000,0.000000,0.322159
0.020000,8.145155,3.919008,8.000000,8.000000,0.000000,0.000000,0.320967
0.020000,8.297021,3.969373,8.160000,8.000000,0.000000,0.000000,0.319425
0.020000,8.448974,4.019477,8.320000,8.000000,0.000000,0.000000,0.317531
0.020000,8.601030,4.069266,8.480000,8.000000,0.000000,0.000000,0.315285
0.020000,8.753206,4.118687,8.640000,8.000000,0.000000,0.000000,0.312686
0.020000,8.905518,4.167685,8.800000,8.000000,0.000000,0.000000,0.309733
0.020000,9.057984,4.216206,8.960000,8.000000,0.000000,0.000000,0.306426
0.020000,9.210617,4.264196,9.120000,8.000000,0.000000,0.000000,0.302764
0.020000,9.363434,4.311599,9.280000,8.000000,0.000000,0.000000,0.298746
0.020000,9.516448,4.358361,9.440000,8.000000,0.000000,0.000000,0.294371
0.020000,9.669673,4.404425,9.600000,8.000000,0.000000,0.000000,0.289637
0.020000,9.823123,4.449735,9.760000,8.000000,0.000000,0.000000,0.284546
0.020000,9.976810,4.494237,9.920000,8.000000,0.000000,0.000000,0.279094
0.020000,10.130408,4.537777,10.079650,7.965010,-1.749478,-87.473881,0.273296
0.020000,10.283202,4.580109,10.238200,7.890021,-3.749478,-100.000000,0.267183
0.020000,10.434425,4.620988,10.394851,7.775031,-5.749478,-100.000000,0.260795
0.020000,10.583299,4.660196,10.548802,7.620042,-7.749478,-100.000000,0.254181
0.020000,10.729042,4.697537,10.699253,7.425052,-9.749478,-100.000000,0.247394
0.020000,10.870865,4.732841,10.845404,7.190063,-11.749478,-100.000000,0.240496
0.020000,11.007971,4.765965,10.986455,6.915073,-13.749478,-100.000000,0.233555
0.020000,11.139560,4.796792,11.121607,6.600084,-15.749478,-100.000000,0.226642
0.020000,11.265165,4.825308,11.250408,6.280084,-16.000000,-12.526119,0.219817
0.020000,11.384709,4.851600,11.372810,5.960084,-16.000000,0.000000,0.213118
0.020000,11.498165,4.875766,11.488812,5.640084,-16.000000,0.000000,0.206578
0.020000,11.605507,4.897907,11.598413,5.320084,-16.000000,-0.000000,0.200229
0.020000,11.706709,4.918125,11.701615,5.000084,-16.000000,0.000000,0.194101
0.020000,11.801747,4.936518,11.798417,4.680084,-16.000000,0.000000,0.188221
0.020000,11.890599,4.953185,11.888818,4.360084,-16.000000,-0.000000,0.182616
0.020000,11.973244,4.968221,11.972820,4.040084,-16.000000,0.000000,0.177310
0.020000,12.049662,4.981719,12.050422,3.720084,-16.000000,0.000000,0.172324
0.020000,12.119838,4.993766,12.121623,3.400084,-16.000000,0.000000,0.167680
0.020000,12.183753,5.004444,12.186425,3.080084,-16.000000,-0.000000,0.163396
0.020000,12.241395,5.013832,12.244827,2.760084,-16.000000,0.000000,0.159488
0.020000,12.292752,5.022000,12.296828,2.440084,-16.000000,0.000000,0.155971
0.020000,12.337811,5.029014,12.342430,2.120084,-16.000000,-0.000000,0.152858
0.020000,12.376563,5.034931,12.381632,1.800084,-16.000000,0.000000,0.150161
0.020000,12.409001,5.039801,12.414433,1.480084,-16.000000,-0.000000,0.147890
0.020000,12.435118,5.043667,12.440835,1.160084,-16.000000,0.000000,0.146051
0.020000,12.455255,5.046615,12.461187,0.875073,-14.250522,87.473881,0.144628
0.020000,12.470151,5.048776,12.476238,0.630063,-12.250522,100.000000,0.143573
0.020000,12.480594,5.050282,12.486789,0.425052,-10.250522,100.000000,0.142831
0.020000,12.487375,5.051256,12.493640,0.260042,-8.250522,100.000000,0.142348
0.020000,12.491286,5.051816,12.497591,0.135031,-6.250522,100.000000,0.142070
0.020000,12.493118,5.052077,12.499441,0.050021,-4.250522,100.000000,0.141939
0.020000,12.493663,5.052155,12.499992,0.005010,-2.250522,100.000000,0.141901
0.020000,12.493712,5.052162,12.500042,0.000000,-0.250522,100.000000,0.141897
0.020000,12.493712,5.052162,12.500042,0.000000,0.000000,12.526119,0.141897
