dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.339340,1.331049,0.000366,0.036585,1.829268,91.463415,6.239512
0.020000,0.339466,1.331044,0.000492,0.006295,-1.514501,-167.188454,6.239646
0.020000,0.339749,1.331032,0.000775,0.014162,0.393323,95.391179,6.239947
0.020000,0.340252,1.331010,0.001278,0.025167,0.550269,7.847321,6.240483
0.020000,0.348264,1.330672,0.009297,0.400939,18.788597,911.916368,6.241319
0.020000,0.362553,1.330082,0.023599,0.715095,15.707813,-154.039198,6.242522
0.020000,0.381606,1.329322,0.042666,0.953373,11.913874,-189.696921,6.244125
0.020000,0.405421,1.328415,0.066500,1.191654,11.914048,0.008701,6.246127
0.020000,0.433999,1.327390,0.095096,1.429797,11.907149,-0.344964,6.248525
0.020000,0.467338,1.326280,0.128453,1.667856,11.902951,-0.209878,6.251319
0.020000,0.505437,1.325127,0.166569,1.905835,11.898957,-0.199712,6.254505
0.020000,0.548294,1.323974,0.209442,2.143646,11.890561,-0.419821,6.258080
0.020000,0.595908,1.322873,0.257069,2.381332,11.884281,-0.313986,6.262042
0.020000,0.648275,1.321879,0.309445,2.618789,11.872838,-0.572145,6.266386
0.020000,0.705390,1.321054,0.366566,2.856082,11.864684,-0.407713,6.271108
0.020000,0.767250,1.320465,0.428428,3.093110,11.851375,-0.665439,6.276202
0.020000,0.833846,1.320182,0.495026,3.329863,11.837671,-0.685207,6.281664
0.020000,0.905172,1.320281,0.566352,3.566302,11.821965,-0.785314,0.004301
0.020000,0.981218,1.320843,0.642400,3.802392,11.804468,-0.874855,0.010475
0.020000,1.061972,1.321953,0.723161,4.038092,11.785008,-0.972962,0.016994
0.020000,1.147422,1.323698,0.808629,4.273376,11.764178,-1.041501,0.023849
0.020000,1.237551,1.326172,0.898792,4.508135,11.737983,-1.309789,0.031028
0.020000,1.332341,1.329470,0.993639,4.742383,11.712401,-1.279091,0.038520
0.020000,1.431772,1.333691,1.093160,4.976023,11.681972,-1.521434,0.046314
0.020000,1.535821,1.338936,1.197341,5.209038,11.650755,-1.560866,0.054394
0.020000,1.644460,1.345307,1.306167,5.441324,11.614312,-1.822123,0.062746
0.020000,1.757662,1.352909,1.419624,5.672847,11.576151,-1.908039,0.071354
0.020000,1.875394,1.361849,1.537695,5.903552,11.535243,-2.045443,0.080201
0.020000,1.997621,1.372232,1.660362,6.133352,11.490026,-2.260806,0.089266
0.020000,2.124305,1.384164,1.787606,6.362212,11.442990,-2.351823,0.098529
0.020000,2.255403,1.397750,1.919407,6.590029,11.390825,-2.608253,0.107970
0.020000,2.390873,1.413093,2.055742,6.816777,11.337407,-2.670897,0.117565
0.020000,2.530665,1.430296,2.196590,7.042364,11.279356,-2.902544,0.127289
0.020000,2.674732,1.449456,2.341925,7.266758,11.219690,-2.983310,0.137117
0.020000,2.823020,1.470669,2.491722,7.489872,11.155726,-3.198185,0.147021
0.020000,2.975475,1.494026,2.645956,7.711669,11.089860,-3.293309,0.156974
0.020000,3.132040,1.519611,2.804597,7.932083,11.020664,-3.459807,0.166947
0.020000,3.292657,1.547505,2.967619,8.151069,10.949313,-3.567537,0.176908
0.020000,3.457267,1.577781,3.134990,8.368588,10.875960,-3.667664,0.186827
0.020000,3.625812,1.610506,3.306682,8.584587,10.799935,-3.801226,0.196671
0.020000,3.798229,1.645738,3.482663,8.799036,10.722471,-3.873231,0.206407
0.020000,3.974085,1.683446,3.662516,8.992664,9.681404,-52.053349,0.215982
0.020000,4.152577,1.723489,3.845445,9.146418,7.687682,-99.686075,0.225325
