dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.012755,24.683709,0.002460,0.098384,1.967687,39.353732,0.018318
0.050000,0.012814,24.683710,0.002518,0.001174,-1.944212,-78.237966,0.018264
0.050000,0.025077,24.683934,0.014783,0.245302,4.882569,136.535614,0.018174
0.050000,0.042428,24.684248,0.032137,0.347074,2.035432,-56.942748,0.018048
0.050000,0.064736,24.684649,0.054448,0.446227,1.983072,-1.047202,0.017887
0.050000,0.092000,24.685134,0.081717,0.545373,1.982915,-0.003136,0.017691
0.050000,0.124220,24.685700,0.113943,0.644509,1.982725,-0.003804,0.017460
0.050000,0.161397,24.686344,0.151124,0.743634,1.982500,-0.004500,0.017195
0.050000,0.203528,24.687063,0.193262,0.842746,1.982239,-0.005215,0.016896
0.050000,0.250613,24.687850,0.240354,0.941844,1.981946,-0.005864,0.016565
0.050000,0.302653,24.688703,0.292400,1.040924,1.981615,-0.006618,0.016201
0.050000,0.359645,24.689615,0.349399,1.139987,1.981252,-0.007257,0.015806
0.050000,0.421589,24.690581,0.411351,1.239029,1.980852,-0.007993,0.015381
0.050000,0.488483,24.691595,0.478253,1.338050,1.980419,-0.008662,0.014927
0.050000,0.560328,24.692650,0.550106,1.437048,1.979951,-0.009369,0.014444
0.050000,0.637121,24.693740,0.626907,1.536020,1.979447,-0.010067,0.013934
0.050000,0.718862,24.694857,0.708655,1.634966,1.978910,-0.010746,0.013398
0.050000,0.805549,24.695994,0.795349,1.733883,1.978336,-0.011470,0.012838
0.050000,0.897180,24.697144,0.886988,1.832769,1.977730,-0.012137,0.012255
0.050000,0.993754,24.698298,0.983569,1.931623,1.977087,-0.012850,0.011650
0.050000,1.095270,24.699449,1.085091,2.030444,1.976409,-0.013555,0.011025
0.050000,1.201725,24.700588,1.191552,2.129229,1.975698,-0.014232,0.010381
0.050000,1.313118,24.701707,1.302951,2.227976,1.974950,-0.014945,0.009721
0.050000,1.429447,24.702799,1.419285,2.326685,1.974169,-0.015637,0.009045
0.050000,1.550710,24.703854,1.540553,2.425352,1.973352,-0.016326,0.008357
