dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.032629,23.598891,0.002460,0.098384,1.967687,39.353732,0.018318
0.050000,0.032629,23.598891,0.009838,0.196769,1.967687,0.000000,0.018264
0.050000,0.044794,23.599113,0.022136,0.295153,1.967687,0.000000,0.018174
0.050000,0.062009,23.599425,0.039354,0.393537,1.967687,0.000000,0.018048
0.050000,0.084142,23.599822,0.061490,0.491922,1.967687,0.000000,0.017887
0.050000,0.111193,23.600304,0.088546,0.590306,1.967687,0.000000,0.017691
0.050000,0.143163,23.600865,0.120521,0.688690,1.967687,0.000000,0.017460
0.050000,0.180052,23.601505,0.157415,0.787075,1.967687,0.000000,0.017195
0.050000,0.221859,23.602217,0.199228,0.885459,1.967687,0.000000,0.016896
0.050000,0.268585,23.602999,0.245961,0.983843,1.967687,0.000000,0.016565
0.050000,0.320230,23.603845,0.297613,1.082228,1.967687,0.000000,0.016201
0.050000,0.376794,23.604751,0.354184,1.180612,1.967687,0.000000,0.015806
0.050000,0.438276,23.605709,0.415674,1.278996,1.967687,-0.000000,0.015381
0.050000,0.504678,23.606716,0.482083,1.377381,1.967687,0.000000,0.014927
0.050000,0.575999,23.607763,0.553412,1.475765,1.967687,-0.000000,0.014444
0.050000,0.652239,23.608845,0.629660,1.574149,1.967687,0.000000,0.013934
0.050000,0.733399,23.609954,0.710827,1.672534,1.967687,0.000000,0.013398
0.050000,0.819478,23.611083,0.796913,1.770918,1.967687,0.000000,0.012838
0.050000,0.910476,23.612225,0.887919,1.869302,1.967687,0.000000,0.012255
0.050000,1.006394,23.613371,0.983843,1.967687,1.967687,0.000000,0.011650
0.050000,1.107231,23.614515,1.084687,2.066071,1.967687,0.000000,0.011025
0.050000,1.212988,23.615646,1.190450,2.164455,1.967687,0.000000,0.010381
0.050000,1.323665,23.616759,1.301133,2.262840,1.967687,0.000000,0.009721
0.050000,1.439262,23.617843,1.416734,2.361224,1.967687,0.000000,0.009045
0.050000,1.559778,23.618892,1.537255,2.459608,1.967687,0.000000,0.008357
0.050000,1.685214,23.619896,1.662695,2.557993,1.967687,-0.000000,0.007658
0.050000,1.815570,23.620848,1.793054,2.656377,1.967687,0.000000,0.006949
0.050000,1.950845,23.621739,1.928333,2.754761,1.967687,-0.000000,0.006234
0.050000,2.091040,23.622563,2.068531,2.853146,1.967687,0.000000,0.005514
0.050000,2.236155,23.623310,2.213647,2.951530,1.967687,0.000000,0.004791
0.050000,2.386190,23.623974,2.363684,3.049914,1.967687,0.000000,0.004069
