dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.052503,22.514073,0.002460,0.098384,1.967687,39.353732,0.018318
0.050000,0.052444,22.514072,0.002518,0.001174,-1.944212,-78.237966,0.018264
0.050000,0.064512,22.514292,0.014588,0.241395,4.804435,134.972930,0.018174
0.050000,0.081590,22.514601,0.031669,0.341617,2.004420,-56.000288,0.018048
0.050000,0.103548,22.514996,0.053630,0.439232,1.952303,-1.042352,0.017887
0.050000,0.130386,22.515473,0.080473,0.536855,1.952458,0.003100,0.017691
0.050000,0.162106,22.516031,0.112198,0.634487,1.952649,0.003818,0.017460
0.050000,0.198707,22.516665,0.148804,0.732131,1.952874,0.004509,0.017195
0.050000,0.240190,22.517372,0.190293,0.829787,1.953133,0.005182,0.016896
0.050000,0.286557,22.518148,0.236666,0.927459,1.953429,0.005920,0.016565
0.050000,0.337807,22.518988,0.287924,1.025147,1.953757,0.006556,0.016201
0.050000,0.393943,22.519886,0.344066,1.122853,1.954122,0.007305,0.015806
0.050000,0.454964,22.520838,0.405095,1.220579,1.954520,0.007959,0.015381
0.050000,0.520873,22.521837,0.471012,1.318327,1.954954,0.008681,0.014927
0.050000,0.591670,22.522876,0.541817,1.416098,1.955423,0.009364,0.014444
0.050000,0.667357,22.523950,0.617511,1.513894,1.955925,0.010057,0.013934
0.050000,0.747935,22.525051,0.698097,1.611717,1.956464,0.010770,0.013398
0.050000,0.833407,22.526173,0.783576,1.709569,1.957036,0.011440,0.012838
0.050000,0.923772,22.527306,0.873948,1.807451,1.957644,0.012165,0.012255
0.050000,1.019033,22.528445,0.969216,1.905365,1.958286,0.012846,0.011650
0.050000,1.119193,22.529580,1.069382,2.003314,1.958963,0.013535,0.011025
0.050000,1.224252,22.530705,1.174447,2.101297,1.959676,0.014252,0.010381
0.050000,1.334212,22.531810,1.284413,2.199319,1.960422,0.014933,0.009721
0.050000,1.449076,22.532888,1.399282,2.297379,1.961204,0.015636,0.009045
0.050000,1.568845,22.533930,1.519056,2.395480,1.962021,0.016341,0.008357
0.050000,1.693522,22.534928,1.643737,2.493623,1.962873,0.017025,0.007658
0.050000,1.823110,22.535874,1.773327,2.591811,1.963759,0.017729,0.006949
0.050000,1.957609,22.536760,1.907830,2.690045,1.964680,0.018428,0.006234
0.050000,2.097023,22.537579,2.047246,2.788327,1.965636,0.019117,0.005514
0.050000,2.241354,22.538323,2.191579,2.886659,1.966627,0.019818,0.004791
0.050000,2.390604,22.538983,2.340831,2.985041,1.967653,0.020518,0.004069
0.050000,2.544777,22.539555,2.495005,3.083477,1.968713,0.021208,0.003348
0.050000,2.703875,22.540030,2.654103,3.181967,1.969809,0.021905,0.002633
0.050000,2.867900,22.540404,2.818129,3.280514,1.970939,0.022602,0.001925
0.050000,3.036856,22.540670,2.987085,3.379119,1.972104,0.023296,0.001227
0.050000,3.210745,22.540823,3.160974,3.477785,1.973303,0.023991,0.000543
0.050000,3.389571,22.540860,3.339800,3.576511,1.974537,0.024685,6.283059
0.050000,3.573336,22.540776,3.523565,3.675302,1.975806,0.025379,6.282409
0.050000,3.762044,22.540570,3.712273,3.774157,1.977110,0.026073,6.281780
0.050000,3.955697,22.540238,3.905927,3.873080,1.978448,0.026766,6.281177
0.050000,4.154300,22.539782,4.104530,3.972071,1.979821,0.027459,6.280601
0.050000,4.357856,22.539199,4.308087,4.071132,1.981229,0.028152,6.280056
0.050000,4.566368,22.538493,4.516600,4.170266,1.982671,0.028846,6.279546
0.050000,4.779840,22.537665,4.730074,4.269473,1.984148,0.029538,6.279074
0.050000,4.998276,22.536719,4.948512,4.368756,1.985660,0.030232,6.278643
0.050000,5.216948,22.535683,5.167186,4.373485,0.094586,-37.821472,6.278265
0.050000,5.430944,22.534595,5.381185,4.279979,-1.870128,-39.294281,6.277946
0.050000,5.640082,22.533471,5.590326,4.182816,-1.943269,-1.462819,6.277684
0.050000,5.844357,22.532325,5.794604,4.085578,-1.944749,-0.029597,6.277474
0.050000,6.043767,22.531170,5.994018,3.988268,-1.946194,-0.028900,6.277314
0.050000,6.238308,22.530016,6.188562,3.890888,-1.947604,-0.028204,6.277200
0.050000,6.427977,22.528873,6.378234,3.793439,-1.948979,-0.027508,6.277130
