dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,25.057206,5.554236,0.004723,0.188929,3.778589,75.571789,3.344199
0.050000,25.041143,5.550961,0.021117,0.327877,2.778959,-19.992603,3.341735
0.050000,24.993456,5.541427,0.069748,0.972616,12.894772,202.316260,3.336092
0.050000,24.913522,5.526082,0.151141,1.627871,13.105104,4.206633,3.326371
0.050000,24.800604,5.505804,0.265866,2.294481,13.332189,4.541704,3.312054
0.050000,24.653591,5.481973,0.414798,2.978643,13.683243,7.021069,3.292323
0.050000,24.470854,5.456645,0.599282,3.689678,14.220711,10.749362,3.265943
0.050000,24.250092,5.432886,0.821319,4.440740,15.021233,16.010447,3.231065
0.050000,23.988077,5.415341,1.083920,5.252036,16.225917,24.093676,3.184909
0.050000,23.680376,5.411277,1.391648,6.154557,18.050421,36.490085,3.123257
0.050000,23.321244,5.432502,1.751407,7.195169,20.812241,55.236396,3.039719
0.050000,22.904700,5.498743,2.173185,8.435557,24.807761,79.910400,2.925022
0.050000,22.429956,5.642116,2.669106,9.918422,29.657303,96.990848,2.767852
0.050000,21.917313,5.905817,3.245596,11.529802,32.227596,51.405861,2.562074
0.050000,21.432917,6.311704,3.877564,12.639365,22.191268,-200.726565,2.326517
0.050000,21.056555,6.813126,4.504519,12.539095,-2.005400,-483.933356,2.107199
0.050000,20.809285,7.326494,5.074334,11.396296,-22.855981,-417.011616,1.937815
0.050000,20.659767,7.800565,5.571424,9.941817,-29.089580,-124.671984,1.819495
0.050000,20.571298,8.222135,6.002178,8.615062,-26.535107,51.089464,1.739078
0.050000,20.519094,8.593215,6.376911,7.494675,-22.407749,82.547146,1.684237
0.050000,20.488380,8.919716,6.704853,6.558841,-18.716666,73.821666,1.646428
0.050000,20.470587,9.206128,6.991818,5.739288,-16.391072,46.511887,1.620277
0.050000,20.460565,9.455689,7.241580,4.995238,-14.881002,30.201387,1.602300
0.050000,20.455151,9.670736,7.456695,4.302311,-13.858522,20.449596,1.590137
0.050000,20.452387,9.852990,7.638970,3.645498,-13.136265,14.445155,1.582123
0.050000,20.451080,10.003741,7.789726,3.015128,-12.607395,10.577385,1.577040
0.050000,20.450522,10.123966,7.909953,2.404536,-12.211853,7.910858,1.573976
0.050000,20.450317,10.214404,8.000391,1.808751,-11.915703,5.922990,1.572247
0.050000,20.450256,10.275590,8.061577,1.223724,-11.700536,4.303344,1.571360
0.050000,20.450244,10.309674,8.095661,0.681674,-10.840996,17.190791,1.570964
0.050000,20.450243,10.323405,8.109392,0.274626,-8.140956,54.000798,1.570825
0.050000,20.450243,10.326388,8.112376,0.059671,-4.299107,76.836999,1.570796
0.050000,20.450243,10.326388,8.112376,0.000000,-1.193417,62.113782,1.570796
