dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,24.838879,6.617043,0.002487,0.099468,1.989362,39.787248,3.344490
0.050000,24.838832,6.617033,0.009947,0.198936,1.989362,0.000000,3.343521
0.050000,24.826647,6.614549,0.022380,0.298404,1.989362,0.000000,3.341897
0.050000,24.809586,6.611105,0.039787,0.397872,1.989362,0.000000,3.339605
0.050000,24.787634,6.606735,0.062168,0.497341,1.989362,0.000000,3.336624
0.050000,24.760790,6.601483,0.089521,0.596809,1.989362,0.000000,3.332927
0.050000,24.729038,6.595406,0.121848,0.696277,1.989362,0.000000,3.328481
0.050000,24.692370,6.588571,0.159149,0.795745,1.989362,0.000000,3.323244
0.050000,24.650769,6.581060,0.201423,0.895213,1.989362,-0.000000,3.317166
0.050000,24.604220,6.572969,0.248670,0.994681,1.989362,0.000000,3.310187
0.050000,24.552704,6.564410,0.300891,1.094149,1.989362,-0.000000,3.302234
0.050000,24.496207,6.555515,0.358085,1.193617,1.989362,0.000000,3.293223
0.050000,24.434706,6.546435,0.420253,1.293086,1.989362,0.000000,3.283054
0.050000,24.368185,6.537347,0.487394,1.392554,1.989362,0.000000,3.271606
0.050000,24.296620,6.528454,0.559508,1.492022,1.989362,0.000000,3.258739
0.050000,24.219999,6.519993,0.636596,1.591490,1.989362,0.000000,3.244287
0.050000,24.138308,6.512237,0.718657,1.690958,1.989362,0.000000,3.228050
0.050000,24.051533,6.505506,0.805692,1.790426,1.989362,-0.000000,3.209793
0.050000,23.959683,6.500169,0.897700,1.889894,1.989362,0.000000,3.189234
0.050000,23.862766,6.496661,0.994681,1.989362,1.989362,0.000000,3.166039
0.050000,23.760822,6.495489,1.096636,2.088831,1.989362,-0.000000,3.139808
0.050000,23.653911,6.497249,1.203564,2.188299,1.989362,0.000000,3.110063
0.050000,23.542145,6.502640,1.315466,2.287767,1.989362,0.000000,3.076242
0.050000,23.425693,6.512486,1.432341,2.387235,1.989362,0.000000,3.037681
0.050000,23.304816,6.527748,1.554189,2.486703,1.989362,0.000000,2.993620
0.050000,23.179896,6.549548,1.681011,2.586171,1.989362,0.000000,2.943213
0.050000,23.051490,6.579173,1.812806,2.685639,1.989362,0.000000,2.885569
0.050000,22.920394,6.618062,1.949575,2.785107,1.989362,0.000000,2.819857
0.050000,22.787689,6.667772,2.091317,2.884575,1.989362,0.000000,2.745464
0.050000,22.654815,6.729879,2.238033,2.984044,1.989362,0.000000,2.662269
0.050000,22.523571,6.805830,2.389722,3.083512,1.989362,0.000000,2.570954
0.050000,22.396056,6.896732,2.546384,3.182980,1.989362,0.000000,2.473268
0.050000,22.274487,7.003150,2.708020,3.282448,1.989362,0.000000,2.372045
0.050000,22.160939,7.124977,2.874629,3.381916,1.989362,0.000000,2.270842
0.050000,22.057063,7.261456,3.046211,3.481384,1.989362,0.000000,2.173251
0.050000,21.965588,7.408355,3.219320,3.442974,-0.768208,-55.151417,2.083874
0.050000,21.888262,7.559323,3.388982,3.343506,-1.989362,-24.423078,2.006077
0.050000,21.823929,7.710893,3.553671,3.244038,-1.989362,0.000000,1.939798
0.050000,21.770628,7.861430,3.713386,3.144569,-1.989362,0.000000,1.883660
0.050000,21.726593,8.009759,3.868128,3.045101,-1.989362,0.000000,1.836188
0.050000,21.690288,8.155050,4.017896,2.945633,-1.989362,0.000000,1.796013
0.050000,21.660415,8.296723,4.162691,2.846165,-1.989362,0.000000,1.761944
