dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,24.620551,7.679849,0.004723,0.188929,3.778589,75.571789,3.344199
0.050000,24.609728,7.677644,0.015769,0.220921,0.639828,-62.775225,3.341735
0.050000,24.574047,7.670511,0.052156,0.727731,10.136196,189.927362,3.336092
0.050000,24.514830,7.659142,0.112455,1.205980,9.564996,-11.424006,3.326371
0.050000,24.432492,7.644354,0.196110,1.673097,9.342339,-4.453131,3.312054
0.050000,24.327743,7.627369,0.302227,2.122340,8.984851,-7.149778,3.292323
0.050000,24.201709,7.609889,0.429468,2.544818,8.449557,-10.705864,3.265943
0.050000,24.056195,7.594206,0.575824,2.927122,7.646085,-16.069439,3.231065
0.050000,23.894109,7.583306,0.738276,3.249049,6.438533,-24.151055,3.184909
0.050000,23.720161,7.580912,0.912241,3.479292,4.604872,-36.673209,3.123257
0.050000,23.541926,7.591252,1.090775,3.570681,1.827764,-55.542168,3.039719
0.050000,23.370994,7.618052,1.263796,3.460422,-2.205167,-80.658618,2.925022
0.050000,23.222224,7.662317,1.419011,3.104310,-7.122250,-98.341662,2.767852
0.050000,23.105652,7.721513,1.549753,2.614825,-9.789691,-53.348809,2.562074
0.050000,23.012194,7.799919,1.671744,2.439828,-3.499951,125.794794,2.326517
0.050000,22.921784,7.922099,1.823736,3.039842,12.000287,310.004751,2.107199
0.050000,22.834767,8.105163,2.026430,4.053878,20.280730,165.608870,1.937815
0.050000,22.763004,8.334695,2.266918,4.809764,15.117719,-103.260214,1.819495
0.050000,22.710645,8.585586,2.523215,5.125932,6.323352,-175.887347,1.739078
0.050000,22.675147,8.838853,2.778958,5.114857,-0.221502,-130.897086,1.684237
0.050000,22.652177,9.083679,3.024859,4.918024,-3.936663,-74.303222,1.646428
0.050000,22.637931,9.313457,3.255078,4.604383,-6.272811,-46.722955,1.620277
0.050000,22.629488,9.524040,3.465829,4.215025,-7.787154,-30.286854,1.602300
0.050000,22.624745,9.712702,3.654552,3.774448,-8.811545,-20.487817,1.590137
0.050000,22.622248,9.877569,3.819437,3.297709,-9.534793,-14.464971,1.582123
0.050000,22.621038,10.017290,3.959163,2.794521,-10.063754,-10.579208,1.577040
0.050000,22.620511,10.130866,4.072740,2.271544,-10.459539,-7.915697,1.573976
0.050000,22.620314,10.217553,4.159428,1.733746,-10.755951,-5.928244,1.572247
0.050000,22.620256,10.276813,4.218688,1.185199,-10.970940,-4.299792,1.571360
0.050000,22.620244,10.310038,4.251913,0.664509,-10.413815,11.142513,1.570964
0.050000,22.620243,10.323467,4.265342,0.268582,-7.918532,49.905650,1.570825
0.050000,22.620243,10.326388,4.268263,0.058424,-4.203163,74.307378,1.570796
0.050000,22.620243,10.326388,4.268263,0.000000,-1.168478,60.693706,1.570796
