dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.380660,3.181277,0.002481,0.099251,1.985022,39.700444,6.282928
0.050000,0.380490,3.181277,0.002651,0.003400,-1.917022,-78.040875,6.283084
0.050000,0.387815,3.181278,0.009977,0.146514,2.862288,95.586194,0.000160
0.050000,0.404787,3.181284,0.026949,0.339435,3.858416,19.922566,0.000526
0.050000,0.426608,3.181301,0.048769,0.436406,1.939422,-38.379887,0.000997
0.050000,0.453276,3.181335,0.075438,0.533369,1.939256,-0.003329,0.001574
0.050000,0.484792,3.181395,0.106954,0.630325,1.939114,-0.002834,0.002256
0.050000,0.521155,3.181492,0.143317,0.727266,1.938821,-0.005856,0.003045
0.050000,0.562365,3.181635,0.184527,0.824196,1.938600,-0.004421,0.003941
0.050000,0.608420,3.181840,0.230582,0.921109,1.938261,-0.006783,0.004944
0.050000,0.659320,3.182120,0.281483,1.018009,1.937995,-0.005319,0.006056
0.050000,0.715063,3.182492,0.337227,1.114887,1.937563,-0.008639,0.007278
0.050000,0.775648,3.182973,0.397814,1.211747,1.937201,-0.007241,0.008609
0.050000,0.841074,3.183583,0.463244,1.308582,1.936710,-0.009813,0.010052
0.050000,0.911340,3.184344,0.533513,1.405398,1.936304,-0.008118,0.011607
0.050000,0.986444,3.185279,0.608623,1.502187,1.935791,-0.010261,0.013275
0.050000,1.066383,3.186411,0.688570,1.598948,1.935207,-0.011689,0.015058
0.050000,1.151156,3.187768,0.773354,1.695680,1.934648,-0.011169,0.016958
0.050000,1.240761,3.189378,0.862973,1.792380,1.933998,-0.013012,0.018974
0.050000,1.335194,3.191271,0.957426,1.889052,1.933438,-0.011206,0.021110
0.050000,1.434454,3.193479,1.056710,1.985685,1.932663,-0.015482,0.023367
0.050000,1.538537,3.196035,1.160824,2.082283,1.931963,-0.014002,0.025745
0.050000,1.647439,3.198976,1.269766,2.178845,1.931237,-0.014527,0.028248
0.050000,1.761158,3.202338,1.383535,2.275366,1.930418,-0.016387,0.030876
0.050000,1.879689,3.206162,1.502127,2.371846,1.929604,-0.016275,0.033632
0.050000,2.003027,3.210490,1.625541,2.468283,1.928739,-0.017301,0.036518
0.050000,2.131168,3.215365,1.753775,2.564675,1.927850,-0.017772,0.039535
0.050000,2.264107,3.220833,1.886826,2.661022,1.926925,-0.018507,0.042686
0.050000,2.401837,3.226942,2.024692,2.757319,1.925951,-0.019473,0.045974
0.050000,2.544353,3.233743,2.167370,2.853568,1.924970,-0.019626,0.049399
0.050000,2.691648,3.241289,2.314859,2.949765,1.923938,-0.020649,0.052966
0.050000,2.843715,3.249633,2.467154,3.045909,1.922887,-0.021001,0.056676
0.050000,3.000545,3.258834,2.624254,3.141999,1.921793,-0.021892,0.060531
0.050000,3.162130,3.268951,2.786156,3.238032,1.920661,-0.022630,0.064534
0.050000,3.328461,3.280047,2.952856,3.334010,1.919568,-0.021868,0.068689
0.050000,3.499528,3.292185,3.124352,3.429927,1.918345,-0.024455,0.072997
0.050000,3.675318,3.305434,3.300642,3.525786,1.917166,-0.023583,0.077461
0.050000,3.855822,3.319864,3.481721,3.621583,1.915946,-0.024397,0.082085
0.050000,4.041025,3.335546,3.667587,3.717319,1.914728,-0.024374,0.086870
0.050000,4.230914,3.352556,3.858236,3.812992,1.913461,-0.025339,0.091821
0.050000,4.425474,3.370973,4.053666,3.908600,1.912160,-0.026011,0.096939
0.050000,4.624690,3.390876,4.253874,4.004145,1.910886,-0.025489,0.102228
0.050000,4.828543,3.412351,4.458855,4.099624,1.909578,-0.026149,0.107691
0.050000,5.037016,3.435482,4.668607,4.195038,1.908282,-0.025913,0.113330
0.050000,5.250087,3.460361,4.883126,4.290387,1.906990,-0.025840,0.119150
0.050000,5.467737,3.487079,5.102410,4.385669,1.905642,-0.026967,0.125152
0.050000,5.689942,3.515732,5.326454,4.480888,1.904363,-0.025581,0.131340
0.050000,5.916676,3.546419,5.555256,4.576040,1.903051,-0.026249,0.137717
0.050000,6.147915,3.579241,5.788812,4.671130,1.901798,-0.025060,0.144286
0.050000,6.383630,3.614302,6.027120,4.766156,1.900514,-0.025674,0.151049
0.050000,6.623790,3.651711,6.270176,4.861120,1.899284,-0.024592,0.158010
0.050000,6.868363,3.691578,6.517978,4.956025,1.898110,-0.023495,0.165171
0.050000,7.117315,3.734017,6.770521,5.050872,1.896931,-0.023563,0.172535
0.050000,7.370610,3.779145,7.027804,5.145663,1.895829,-0.022038,0.180105
0.050000,7.624419,3.826362,7.285968,5.163279,0.352303,-30.870524,0.187767
0.050000,7.874008,3.874768,7.540208,5.084791,-1.569750,-38.441074,0.195377
0.050000,8.118449,3.924099,7.789577,4.987386,-1.948100,-7.566995,0.202903
0.050000,8.357753,3.974259,8.034081,4.890082,-1.946078,0.040437,0.210338
0.050000,8.591930,4.025153,8.273725,4.792876,-1.944131,0.038952,0.217680
0.050000,8.820992,4.076688,8.508513,4.695762,-1.942261,0.037389,0.224922
0.050000,9.044953,4.128770,8.738450,4.598741,-1.940436,0.036497,0.232063
0.050000,9.263826,4.181307,8.963540,4.501805,-1.938709,0.034549,0.239096
0.050000,9.477627,4.234206,9.183788,4.404954,-1.937027,0.033635,0.246019
0.050000,9.686370,4.287378,9.399197,4.308180,-1.935482,0.030901,0.252828
0.050000,9.890073,4.340733,9.609771,4.211484,-1.933921,0.031223,0.259519
0.050000,10.088752,4.394182,9.815514,4.114860,-1.932479,0.028844,0.266089
0.050000,10.282425,4.447639,10.016429,4.018302,-1.931152,0.026535,0.272534
0.050000,10.471111,4.501017,10.212520,3.921812,-1.929811,0.026820,0.278853
0.050000,10.654828,4.554233,10.403789,3.825383,-1.928576,0.024693,0.285042
0.050000,10.833595,4.607204,10.590239,3.729009,-1.927485,0.021817,0.291098
0.050000,11.007434,4.659848,10.771874,3.632692,-1.926330,0.023110,0.297019
0.050000,11.176362,4.712087,10.948695,3.536426,-1.925322,0.020150,0.302802
0.050000,11.340401,4.763843,11.120706,3.440207,-1.924385,0.018742,0.308446
0.050000,11.499572,4.815039,11.287907,3.344033,-1.923471,0.018291,0.313948
0.050000,11.653895,4.865603,11.450302,3.247898,-1.922706,0.015307,0.319306
0.050000,11.803390,4.915461,11.607893,3.151806,-1.921828,0.017555,0.324518
0.050000,11.948079,4.964544,11.760680,3.055748,-1.921176,0.013032,0.329584
0.050000,12.087982,5.012784,11.908666,2.959725,-1.920452,0.014480,0.334501
0.050000,12.223120,5.060114,12.051853,2.863728,-1.919940,0.010247,0.339268
0.050000,12.353513,5.106470,12.190241,2.767765,-1.919270,0.013398,0.343883
0.050000,12.479182,5.151790,12.323832,2.671820,-1.918886,0.007683,0.348346
0.050000,12.600146,5.196014,12.452627,2.575906,-1.918285,0.012008,0.352655
0.050000,12.716427,5.239084,12.576628,2.480011,-1.917904,0.007635,0.356810
0.050000,12.828042,5.280945,12.695834,2.384136,-1.917504,0.007983,0.360809
0.050000,12.935011,5.321542,12.810248,2.288277,-1.917162,0.006852,0.364651
0.050000,13.037353,5.360824,12.919870,2.192433,-1.916883,0.005588,0.368337
0.050000,13.135085,5.398742,13.024700,2.096610,-1.916470,0.008251,0.371865
0.050000,13.228226,5.435249,13.124740,2.000792,-1.916358,0.002243,0.375234
0.050000,13.316792,5.470299,13.219989,1.904987,-1.916104,0.005082,0.378445
0.050000,13.400799,5.503850,13.310449,1.809197,-1.915800,0.006073,0.381496
0.050000,13.480265,5.535861,13.396120,1.713411,-1.915712,0.001765,0.384388
0.050000,13.555203,5.566294,13.477002,1.617635,-1.915524,0.003760,0.387119
0.050000,13.625628,5.595111,13.553095,1.521866,-1.915378,0.002909,0.389690
0.050000,13.691555,5.622279,13.624400,1.426103,-1.915262,0.002327,0.392100
0.050000,13.752996,5.647767,13.690917,1.330346,-1.915145,0.002335,0.394350
0.050000,13.809962,5.671543,13.752647,1.234592,-1.915079,0.001316,0.396438
0.050000,13.862467,5.693581,13.809589,1.138843,-1.914974,0.002099,0.398364
0.050000,13.910520,5.713855,13.861744,1.043097,-1.914913,0.001239,0.400129
0.050000,13.954131,5.732342,13.909112,0.947354,-1.914865,0.000959,0.401733
0.050000,13.993310,5.749019,13.951692,0.851614,-1.914807,0.001154,0.403175
0.050000,14.028064,5.763870,13.989486,0.755875,-1.914785,0.000431,0.404454
0.050000,14.058401,5.776875,14.022493,0.660139,-1.914705,0.001611,0.405572
0.050000,14.084326,5.788022,14.050713,0.564403,-1.914725,-0.000395,0.406528
0.050000,14.105846,5.797297,14.074146,0.468666,-1.914732,-0.000144,0.407322
0.050000,14.122965,5.804689,14.092793,0.372937,-1.914580,0.003042,0.407954
0.050000,14.135686,5.810191,14.106653,0.277202,-1.914702,-0.002449,0.408423
0.050000,14.144013,5.813796,14.115727,0.181466,-1.914727,-0.000503,0.408731
0.050000,14.147946,5.815500,14.120014,0.085740,-1.914518,0.004174,0.408876
0.050000,14.148815,5.815876,14.120961,0.018937,-1.336068,11.569004,0.408908
0.050000,14.148815,5.815876,14.120961,0.000000,-0.378734,19.146683,0.408908
