dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.380380,2.096277,0.004762,0.190476,3.809524,76.190476,6.282976
0.050000,0.389467,2.096278,0.023810,0.571429,7.619048,76.190476,0.000191
0.050000,0.432324,2.096306,0.066667,1.142857,11.428571,76.190476,0.001095
0.050000,0.503753,2.096438,0.138095,1.714286,11.428571,0.000000,0.002606
0.050000,0.603752,2.096805,0.238095,2.285714,11.428571,-0.000000,0.004731
0.050000,0.732321,2.097589,0.366667,2.857143,11.428571,0.000000,0.007478
0.050000,0.889457,2.099030,0.523810,3.428571,11.428571,0.000000,0.010861
0.050000,1.075156,2.101421,0.709524,4.000000,11.428571,-0.000000,0.014893
0.050000,1.289410,2.105115,0.923810,4.571429,11.428571,0.000000,0.019593
0.050000,1.532206,2.110525,1.166667,5.142857,11.428571,0.000000,0.024980
0.050000,1.803528,2.118130,1.438095,5.714286,11.428571,-0.000000,0.031077
0.050000,2.103349,2.128474,1.738095,6.285714,11.428571,0.000000,0.037909
0.050000,2.431634,2.142170,2.066667,6.857143,11.428571,0.000000,0.045506
0.050000,2.788335,2.159909,2.423810,7.428571,11.428571,-0.000000,0.053896
0.050000,3.168636,2.182157,2.804762,7.809524,7.619048,-76.190476,0.062999
0.050000,3.562965,2.208930,3.200000,8.000000,3.809524,-76.190476,0.072611
0.050000,3.961761,2.239917,3.600000,8.000000,0.000000,-76.190476,0.082510
0.050000,4.360228,2.274885,4.000000,8.000000,0.000000,0.000000,0.092581
0.050000,4.758319,2.313897,4.400000,8.000000,0.000000,0.000000,0.102822
0.050000,5.155986,2.357018,4.800000,8.000000,0.000000,0.000000,0.113232
0.050000,5.553179,2.404310,5.200000,8.000000,0.000000,0.000000,0.123808
0.050000,5.949845,2.455832,5.600000,8.000000,0.000000,0.000000,0.134549
0.050000,6.345930,2.511643,6.000000,8.000000,0.000000,0.000000,0.145450
0.050000,6.741378,2.571801,6.400000,8.000000,0.000000,0.000000,0.156510
0.050000,7.136132,2.636359,6.800000,8.000000,0.000000,0.000000,0.167725
0.050000,7.530132,2.705370,7.200000,8.000000,0.000000,0.000000,0.179091
0.050000,7.923316,2.778884,7.600000,8.000000,0.000000,0.000000,0.190605
0.050000,8.315623,2.856947,8.000000,8.000000,0.000000,0.000000,0.202260
0.050000,8.706987,2.939605,8.400000,8.000000,0.000000,0.000000,0.214053
0.050000,9.097343,3.026898,8.800000,8.000000,0.000000,0.000000,0.225979
0.050000,9.486625,3.118865,9.200000,8.000000,0.000000,0.000000,0.238031
0.050000,9.874763,3.215541,9.600000,8.000000,0.000000,0.000000,0.250204
0.050000,10.261691,3.316957,10.000000,8.000000,0.000000,0.000000,0.262492
0.050000,10.647337,3.423140,10.400000,8.000000,0.000000,0.000000,0.274888
0.050000,11.031632,3.534115,10.800000,8.000000,0.000000,0.000000,0.287384
0.050000,11.414504,3.649902,11.200000,8.000000,0.000000,0.000000,0.299975
0.050000,11.793355,3.769700,11.597343,7.893726,-2.125488,-42.509752,0.312568
0.050000,12.161115,3.891055,11.984611,7.596975,-5.935011,-76.190476,0.324915
0.050000,12.508846,4.010474,12.352279,7.109748,-9.744535,-76.190476,0.336700
0.050000,12.830264,4.124964,12.693480,6.538320,-11.428571,-33.680724,0.347684
0.050000,13.123645,4.232966,13.006111,5.966891,-11.428571,-0.000000,0.357785
0.050000,13.389255,4.333666,13.290170,5.395463,-11.428571,0.000000,0.366989
0.050000,13.627347,4.426324,13.545657,4.824034,-11.428571,0.000000,0.375286
0.050000,13.838161,4.510276,13.772573,4.252605,-11.428571,-0.000000,0.382668
0.050000,14.021920,4.584931,13.970918,3.681177,-11.428571,0.000000,0.389130
0.050000,14.178821,4.649775,14.140691,3.109748,-11.428571,0.000000,0.394666
0.050000,14.309043,4.704367,14.281892,2.538320,-11.428571,-0.000000,0.399274
0.050000,14.412733,4.748342,14.394523,1.966891,-11.428571,0.000000,0.402952
0.050000,14.490014,4.781411,14.478581,1.395463,-11.428571,0.000000,0.405698
0.050000,14.540977,4.803356,14.534069,0.824034,-11.428571,-0.000000,0.407511
0.050000,14.568123,4.815090,14.563642,0.358880,-9.303084,42.509752,0.408477
0.050000,14.578288,4.819491,14.574719,0.084202,-5.493560,76.190476,0.408839
0.050000,14.580219,4.820328,14.576824,0.000000,-1.684036,76.190476,0.408908
0.050000,14.580219,4.820328,14.576824,0.000000,0.000000,33.680724,0.408908
