dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.380101,1.011278,0.002481,0.099251,1.985022,39.700444,6.282928
0.050000,0.380271,1.011277,0.002651,0.003400,-1.917022,-78.040875,6.283084
0.050000,0.388163,1.011278,0.010544,0.157853,3.089068,100.121792,0.000160
0.050000,0.405929,1.011284,0.028310,0.355322,3.949368,17.205997,0.000526
0.050000,0.428772,1.011302,0.051153,0.456853,2.030621,-38.374947,0.000997
0.050000,0.456691,1.011337,0.079072,0.558391,2.030767,0.002936,0.001574
0.050000,0.489689,1.011401,0.112069,0.659942,2.031012,0.004884,0.002256
0.050000,0.527763,1.011502,0.150144,0.761500,2.031169,0.003151,0.003045
0.050000,0.570917,1.011652,0.193298,0.863074,2.031473,0.006087,0.003941
0.050000,0.619149,1.011867,0.241531,0.964660,2.031726,0.005050,0.004944
0.050000,0.672462,1.012160,0.294844,1.066267,2.032127,0.008022,0.006056
0.050000,0.730855,1.012549,0.353239,1.167888,2.032426,0.005985,0.007278
0.050000,0.794330,1.013053,0.416715,1.269531,2.032871,0.008891,0.008609
0.050000,0.862886,1.013693,0.485275,1.371194,2.033253,0.007642,0.010052
0.050000,0.936526,1.014490,0.558919,1.472884,2.033796,0.010865,0.011607
0.050000,1.015250,1.015470,0.637649,1.574599,2.034300,0.010069,0.013275
0.050000,1.099059,1.016657,0.721466,1.676339,2.034801,0.010021,0.015058
0.050000,1.187953,1.018080,0.810372,1.778109,2.035401,0.012017,0.016958
0.050000,1.281933,1.019769,0.904367,1.879908,2.035978,0.011535,0.018974
0.050000,1.381000,1.021755,1.003454,1.981744,2.036722,0.014879,0.021110
0.050000,1.485155,1.024071,1.107635,2.083610,2.037314,0.011842,0.023367
0.050000,1.594398,1.026754,1.216910,2.185513,2.038056,0.014838,0.025745
0.050000,1.708729,1.029841,1.331283,2.287455,2.038843,0.015727,0.028248
0.050000,1.828148,1.033372,1.450755,2.389435,2.039603,0.015208,0.030876
0.050000,1.952656,1.037389,1.575328,2.491457,2.040440,0.016749,0.033632
0.050000,2.082253,1.041937,1.705004,2.593522,2.041295,0.017084,0.036518
0.050000,2.216937,1.047061,1.839785,2.695631,2.042194,0.017989,0.039535
0.050000,2.356708,1.052810,1.979675,2.797787,2.043124,0.018599,0.042686
0.050000,2.501565,1.059235,2.124674,2.899991,2.044071,0.018946,0.045974
0.050000,2.651507,1.066390,2.274786,3.002245,2.045078,0.020125,0.049399
0.050000,2.806531,1.074332,2.430014,3.104550,2.046096,0.020359,0.052966
0.050000,2.966635,1.083117,2.590359,3.206908,2.047159,0.021267,0.056676
0.050000,3.131817,1.092808,2.755825,3.309319,2.048237,0.021569,0.060531
0.050000,3.302073,1.103468,2.926415,3.411786,2.049337,0.021988,0.064534
0.050000,3.477399,1.115164,3.102130,3.514313,2.050534,0.023938,0.068689
