dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,23.389916,3.081572,0.002495,0.099805,1.996101,39.922022,1.570945
0.050000,23.389916,3.083428,0.009981,0.199610,1.996101,0.000000,1.570747
0.050000,23.389918,3.095904,0.022456,0.299415,1.996101,-0.000000,1.570419
0.050000,23.389929,3.113370,0.039922,0.399220,1.996101,0.000000,1.569962
0.050000,23.389954,3.135826,0.062378,0.499025,1.996101,-0.000000,1.569377
0.050000,23.390003,3.163272,0.089825,0.598830,1.996101,0.000000,1.568666
0.050000,23.390085,3.195709,0.122261,0.698635,1.996101,0.000000,1.567832
0.050000,23.390214,3.233136,0.159688,0.798440,1.996101,0.000000,1.566878
0.050000,23.390403,3.275552,0.202105,0.898245,1.996101,-0.000000,1.565807
0.050000,23.390668,3.322959,0.249513,0.998051,1.996101,0.000000,1.564625
0.050000,23.391025,3.375355,0.301910,1.097856,1.996101,0.000000,1.563335
0.050000,23.391493,3.432741,0.359298,1.197661,1.996101,-0.000000,1.561942
0.050000,23.392092,3.495117,0.421676,1.297466,1.996101,0.000000,1.560452
0.050000,23.392843,3.562481,0.489045,1.397271,1.996101,-0.000000,1.558871
0.050000,23.393766,3.634834,0.561403,1.497076,1.996101,0.000000,1.557206
0.050000,23.394885,3.712174,0.638752,1.596881,1.996101,0.000000,1.555463
0.050000,23.396222,3.794503,0.721092,1.696686,1.996101,-0.000000,1.553651
0.050000,23.397801,3.881818,0.808421,1.796491,1.996101,0.000000,1.551776
0.050000,23.399647,3.974119,0.900741,1.896296,1.996101,-0.000000,1.549848
0.050000,23.401781,4.071406,0.998051,1.996101,1.996101,0.000000,1.547876
0.050000,23.404229,4.173676,1.100351,2.095906,1.996101,-0.000000,1.545869
0.050000,23.407013,4.280931,1.207641,2.195711,1.996101,0.000000,1.543836
0.050000,23.410155,4.393167,1.319922,2.295516,1.996101,-0.000000,1.541790
0.050000,23.413678,4.510385,1.437193,2.395321,1.996101,0.000000,1.539739
0.050000,23.417600,4.632584,1.559454,2.495126,1.996101,0.000000,1.537697
0.050000,23.421941,4.759761,1.686705,2.594931,1.996101,0.000000,1.535674
0.050000,23.426717,4.891916,1.818947,2.694736,1.996101,-0.000000,1.533684
0.050000,23.431944,5.029049,1.956179,2.794542,1.996101,0.000000,1.531738
0.050000,23.437633,5.171157,2.098401,2.894347,1.996101,0.000000,1.529851
0.050000,23.443794,5.318241,2.245614,2.994152,1.996101,-0.000000,1.528037
0.050000,23.450433,5.470298,2.397816,3.093957,1.996101,0.000000,1.526309
0.050000,23.457554,5.627330,2.555009,3.193762,1.996101,0.000000,1.524683
0.050000,23.465155,5.789335,2.717193,3.293567,1.996101,-0.000000,1.523173
0.050000,23.473231,5.956313,2.884366,3.393372,1.996101,0.000000,1.521796
0.050000,23.481772,6.128265,3.056530,3.493177,1.996101,0.000000,1.520568
0.050000,23.490763,6.305191,3.233684,3.592982,1.996101,-0.000000,1.519505
0.050000,23.500185,6.487091,3.415828,3.692787,1.996101,0.000000,1.518625
0.050000,23.510010,6.673967,3.602962,3.792592,1.996101,0.000000,1.517945
0.050000,23.520208,6.865821,3.795087,3.892397,1.996101,0.000000,1.517484
0.050000,23.530737,7.062655,3.992202,3.992202,1.996101,-0.000000,1.517261
0.050000,23.541383,7.261286,4.191119,3.964458,-0.554873,-51.019484,1.517291
0.050000,23.551827,7.456735,4.386846,3.864653,-1.996101,-28.824559,1.517572
0.050000,23.561929,7.647205,4.577584,3.764848,-1.996101,0.000000,1.518084
0.050000,23.571652,7.832698,4.763331,3.665043,-1.996101,-0.000000,1.518811
0.050000,23.580964,8.013215,4.944088,3.565238,-1.996101,0.000000,1.519734
0.050000,23.589842,8.188757,5.119855,3.465433,-1.996101,-0.000000,1.520834
0.050000,23.598265,8.359326,5.290632,3.365628,-1.996101,0.000000,1.522096
0.050000,23.606222,8.524921,5.456418,3.265823,-1.996101,0.000000,1.523502
0.050000,23.613703,8.685543,5.617214,3.166018,-1.996101,0.000000,1.525037
0.050000,23.620704,8.841191,5.773020,3.066213,-1.996101,-0.000000,1.526684
0.050000,23.627225,8.991866,5.923835,2.966408,-1.996101,0.000000,1.528429
0.050000,23.633270,9.137566,6.069661,2.866603,-1.996101,-0.000000,1.530257
0.050000,23.638846,9.278290,6.210496,2.766798,-1.996101,0.000000,1.532153
0.050000,23.643963,9.414039,6.346340,2.666993,-1.996101,-0.000000,1.534105
0.050000,23.648634,9.544810,6.477195,2.567188,-1.996101,0.000000,1.536098
0.050000,23.652874,9.670602,6.603059,2.467383,-1.996101,-0.000000,1.538121
0.050000,23.656701,9.791416,6.723933,2.367578,-1.996101,0.000000,1.540160
0.050000,23.660133,9.907249,6.839817,2.267773,-1.996101,0.000000,1.542204
0.050000,23.663191,10.018100,6.950710,2.167968,-1.996101,0.000000,1.544241
0.050000,23.665897,10.123969,7.056614,2.068162,-1.996101,-0.000000,1.546262
0.050000,23.668272,10.224854,7.157527,1.968357,-1.996101,0.000000,1.548255
