dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,24.474916,3.081669,0.004762,0.190476,3.809524,76.190476,1.570885
0.050000,24.474919,3.096810,0.019903,0.302828,2.247039,-31.249697,1.570384
0.050000,24.474959,3.138453,0.061547,0.832867,10.600769,167.074601,1.569265
0.050000,24.475129,3.207887,0.130981,1.388679,11.116250,10.309624,1.567427
0.050000,24.475580,3.305153,0.228248,1.945346,11.133334,0.341682,1.564908
0.050000,24.476515,3.430310,0.353408,2.503210,11.157287,0.479058,1.561765
0.050000,24.478183,3.583432,0.506539,3.062619,11.188175,0.617754,1.558067
0.050000,24.480870,3.764608,0.687735,3.623920,11.226016,0.756820,1.553903
0.050000,24.484886,3.973943,0.897108,4.187462,11.270850,0.896688,1.549375
0.050000,24.490552,4.211555,1.134788,4.753596,11.322685,1.036685,1.544604
0.050000,24.498182,4.477579,1.400922,5.322672,11.381510,1.176512,1.539724
0.050000,24.508066,4.772165,1.695674,5.895037,11.447300,1.315802,1.534887
0.050000,24.520449,5.095480,2.019226,6.471037,11.520008,1.454157,1.530261
0.050000,24.535506,5.447709,2.371776,7.051017,11.599585,1.591538,1.526029
0.050000,24.553088,5.824345,2.748823,7.540925,9.798166,-36.028388,1.522429
0.050000,24.572623,6.216126,3.141090,7.845352,6.088536,-74.192598,1.519691
0.050000,24.593340,6.613702,3.539206,7.962307,2.339107,-74.988576,1.517954
0.050000,24.614600,7.012379,3.938449,7.984868,0.451218,-37.757767,1.517257
0.050000,24.635992,7.412179,4.338820,8.007425,0.451151,-0.001352,1.517599
0.050000,24.657098,7.813123,4.740319,8.029984,0.451163,0.000239,1.518981
0.050000,24.677337,8.211979,5.139689,7.987395,-0.851780,-26.058866,1.521379
0.050000,24.695947,8.600668,5.528823,7.782684,-4.094220,-64.848785,1.524689
0.050000,24.712247,8.969465,5.897980,7.383140,-7.990865,-77.932915,1.528711
0.050000,24.725913,9.311822,6.240610,6.852586,-10.611097,-52.404625,1.533207
0.050000,24.736994,9.625977,6.554960,6.287015,-11.311408,-14.006228,1.537972
0.050000,24.745694,9.911730,6.840845,5.717700,-11.386307,-1.497984,1.542835
0.050000,24.752277,10.168895,7.098095,5.144984,-11.454309,-1.360027,1.547639
0.050000,24.757047,10.397306,7.326555,4.569216,-11.515367,-1.221167,1.552242
0.050000,24.760326,10.596816,7.526093,3.990744,-11.569449,-1.081630,1.556521
0.050000,24.762435,10.767299,7.696588,3.409917,-11.616536,-0.941742,1.560367
0.050000,24.763676,10.908648,7.837943,2.827085,-11.656631,-0.801900,1.563687
0.050000,24.764321,11.020776,7.950073,2.242597,-11.689756,-0.662510,1.566405
0.050000,24.764600,11.103615,8.032913,1.656800,-11.715952,-0.523913,1.568461
0.050000,24.764689,11.157117,8.086414,1.070037,-11.735248,-0.385921,1.569811
0.050000,24.764707,11.184573,8.113871,0.549132,-10.418115,26.342661,1.570510
0.050000,24.764708,11.194192,8.123490,0.192381,-7.135015,65.661987,1.570756
0.050000,24.764708,11.195766,8.125064,0.031476,-3.218094,78.338432,1.570796
0.050000,24.764708,11.195766,8.125064,0.000000,-0.629525,51.771382,1.570796
