dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.090097,1.301070,0.004762,0.190476,3.809524,76.190476,6.282733
0.050000,0.097898,1.301071,0.012563,0.156014,-0.689244,-89.975348,0.000264
0.050000,0.142507,1.301119,0.057172,0.892188,14.723476,308.254401,0.001880
0.050000,0.216872,1.301359,0.131537,1.487301,11.902259,-56.424353,0.004586
0.050000,0.321011,1.302035,0.235679,2.082832,11.910630,0.167421,0.008403
0.050000,0.454953,1.303492,0.369629,2.678999,11.923341,0.254221,0.013360
0.050000,0.618731,1.306182,0.533429,3.276002,11.940053,0.334236,0.019496
0.050000,0.812380,1.310669,0.727129,3.874008,11.960124,0.401432,0.026857
0.050000,1.035934,1.317638,0.950791,4.473247,11.984768,0.492881,0.035500
0.050000,1.289422,1.327905,1.204488,5.073928,12.013618,0.577001,0.045491
0.050000,1.572865,1.342424,1.488303,5.676294,12.047337,0.674366,0.056908
0.050000,1.886263,1.362303,1.802330,6.280556,12.085233,0.757930,0.069839
0.050000,2.229590,1.388819,2.146680,6.886996,12.128806,0.871452,0.084384
0.050000,2.602780,1.423431,2.521471,7.495824,12.176559,0.955070,0.100654
0.050000,3.000737,1.467204,2.921828,8.007137,10.226248,-39.006233,0.118543
0.050000,3.413341,1.520337,3.337839,8.320220,6.261666,-79.291628,0.137694
0.050000,3.830445,1.582372,3.759531,8.433840,2.272399,-79.785336,0.157694
0.050000,4.246870,1.652978,4.181900,8.447366,0.270522,-40.037550,0.178316
0.050000,4.662387,1.732412,4.604942,8.460843,0.269534,-0.019764,0.199561
0.050000,5.076751,1.820922,5.028653,8.474222,0.267587,-0.038934,0.221422
0.050000,5.489691,1.918747,5.453022,8.487392,0.263407,-0.083608,0.243891
0.050000,5.900921,2.026110,5.878036,8.500276,0.257665,-0.114837,0.266954
0.050000,6.310132,2.143217,6.303674,8.512751,0.249497,-0.163365,0.290592
0.050000,6.716995,2.270255,6.729909,8.524706,0.239113,-0.207664,0.314782
0.050000,7.121167,2.407384,7.156710,8.536029,0.226464,-0.252990,0.339494
0.050000,7.522287,2.554740,7.584041,8.546603,0.211471,-0.299859,0.364693
0.050000,7.919982,2.712425,8.011856,8.556305,0.194049,-0.348432,0.390340
0.050000,8.313869,2.880509,8.440107,8.565021,0.174313,-0.394730,0.416389
0.050000,8.703559,3.059023,8.868739,8.572644,0.152461,-0.437038,0.442790
0.050000,9.088661,3.247963,9.297693,8.579076,0.128641,-0.476391,0.469487
0.050000,9.468785,3.447282,9.726904,8.584228,0.103032,-0.512198,0.496422
0.050000,9.843550,3.656893,10.156306,8.588031,0.076069,-0.539242,0.523533
0.050000,10.212585,3.876670,10.585828,8.590435,0.048081,-0.559760,0.550754
0.050000,10.575536,4.106446,11.015398,8.591407,0.019432,-0.572986,0.578020
0.050000,10.932070,4.346016,11.444945,8.590936,-0.009420,-0.577042,0.605264
0.050000,11.281878,4.595142,11.874397,8.589036,-0.037997,-0.571544,0.632421
0.050000,11.624678,4.853549,12.303683,8.585719,-0.066336,-0.566775,0.659425
0.050000,11.960222,5.120939,12.732736,8.581077,-0.092847,-0.530217,0.686214
0.050000,12.288293,5.396986,13.161493,8.575136,-0.118825,-0.519571,0.712730
0.050000,12.607569,5.680309,13.588352,8.537180,-0.759118,-12.805859,0.738824
0.050000,12.913200,5.965872,14.006631,8.365570,-3.432203,-53.461689,0.764052
0.050000,13.198345,6.245682,14.406133,7.990037,-7.510648,-81.568897,0.787795
0.050000,13.457948,6.512291,14.778253,7.442408,-10.952580,-68.838654,0.809572
0.050000,13.690903,6.761667,15.119510,6.825142,-12.345329,-27.854973,0.829234
0.050000,13.898578,6.992455,15.429981,6.209415,-12.314529,0.615989,0.846854
0.050000,14.082226,7.203499,15.709741,5.595213,-12.284039,0.609808,0.862501
0.050000,14.242986,7.393815,15.958868,4.982526,-12.253754,0.605699,0.876247
0.050000,14.381871,7.562579,16.177432,4.371281,-12.224897,0.577144,0.888156
0.050000,14.499768,7.709101,16.365497,3.761306,-12.199492,0.508103,0.898290
0.050000,14.597441,7.832819,16.523124,3.152532,-12.175478,0.480282,0.906701
0.050000,14.675524,7.933277,16.650359,2.544698,-12.156682,0.375905,0.913435
0.050000,14.734527,8.010121,16.747242,1.937678,-12.140409,0.325465,0.918529
0.050000,14.774840,8.063092,16.813808,1.331315,-12.127262,0.262953,0.922013
0.050000,14.797646,8.093230,16.851603,0.755888,-11.508535,12.374523,0.923984
0.050000,14.807047,8.105689,16.867210,0.312156,-8.874629,52.678132,0.924797
0.050000,14.809166,8.108501,16.870731,0.070420,-4.834720,80.798183,0.924980
0.050000,14.809166,8.108501,16.870731,0.000000,-1.408410,68.526193,0.924980
