dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,8.378346,14.599107,0.002459,0.098360,1.967194,39.343888,0.000286
0.050000,8.379002,14.599107,0.003115,0.013115,-1.704886,-73.441616,6.283172
0.050000,8.391837,14.599104,0.015950,0.256699,4.871670,131.531132,6.282674
0.050000,8.409803,14.599089,0.033915,0.359308,2.052180,-56.389804,6.281981
0.050000,8.432895,14.599051,0.057007,0.461846,2.050768,-0.028246,6.281095
0.050000,8.461109,14.598976,0.085222,0.564294,2.048952,-0.036317,6.280020
0.050000,8.494441,14.598850,0.118554,0.666630,2.046731,-0.044425,6.278762
0.050000,8.532882,14.598652,0.156995,0.768836,2.044104,-0.052530,6.277328
0.050000,8.576426,14.598362,0.200540,0.870889,2.041073,-0.060621,6.275722
0.050000,8.625062,14.597956,0.249178,0.972771,2.037632,-0.068825,6.273955
0.050000,8.678783,14.597408,0.302901,1.074460,2.033787,-0.076892,6.272034
0.050000,8.737575,14.596692,0.361698,1.175937,2.029536,-0.085025,6.269970
0.050000,8.801428,14.595778,0.425557,1.277181,2.024875,-0.093211,6.267772
0.050000,8.870327,14.594635,0.494466,1.378171,2.019810,-0.101313,6.265453
0.050000,8.944258,14.593234,0.568410,1.478888,2.014338,-0.109426,6.263026
0.050000,9.023205,14.591542,0.647376,1.579311,2.008460,-0.117564,6.260504
0.050000,9.107152,14.589528,0.731347,1.679420,2.002180,-0.125598,6.257901
0.050000,9.196080,14.587160,0.820307,1.779195,1.995499,-0.133636,6.255232
0.050000,9.289971,14.584406,0.914237,1.878616,1.988414,-0.141695,6.252515
0.050000,9.388803,14.581237,1.013121,1.977663,1.980937,-0.149545,6.249767
0.050000,9.492556,14.577624,1.116936,2.076316,1.973064,-0.157449,6.247004
0.050000,9.601207,14.573540,1.225664,2.174555,1.964788,-0.165527,6.244247
0.050000,9.714733,14.568960,1.339282,2.272362,1.956137,-0.173019,6.241516
0.050000,9.833109,14.563864,1.457768,2.369717,1.947093,-0.180874,6.238831
0.050000,9.956310,14.558232,1.581098,2.466600,1.937656,-0.188746,6.236214
0.050000,10.084311,14.552052,1.709248,2.562992,1.927854,-0.196035,6.233688
0.050000,10.217084,14.545311,1.842191,2.658875,1.917653,-0.204031,6.231276
0.050000,10.354601,14.538007,1.979903,2.754229,1.907083,-0.211394,6.229002
0.050000,10.496835,14.530139,2.122355,2.849035,1.896124,-0.219187,6.226892
0.050000,10.643758,14.521715,2.269518,2.943275,1.884787,-0.226737,6.224972
0.050000,10.795339,14.512748,2.421365,3.036928,1.873061,-0.234511,6.223269
0.050000,10.951550,14.503259,2.577863,3.129975,1.860948,-0.242260,6.221811
0.050000,11.112360,14.493277,2.738983,3.222397,1.848438,-0.250205,6.220627
0.050000,11.277740,14.482840,2.904692,3.314173,1.835527,-0.258213,6.219745
0.050000,11.447658,14.471994,3.074956,3.405283,1.822203,-0.266487,6.219198
0.050000,11.622085,14.460796,3.249741,3.495706,1.808459,-0.274870,6.219017
0.050000,11.800988,14.449314,3.429012,3.585420,1.794282,-0.283549,6.219234
0.050000,11.984336,14.437625,3.612733,3.674403,1.779660,-0.292438,6.219883
0.050000,12.172097,14.425822,3.800864,3.762633,1.764582,-0.301570,6.220999
0.050000,12.364238,14.414006,3.993368,3.850084,1.749038,-0.310862,6.222617
0.050000,12.560726,14.402295,4.190205,3.936735,1.733008,-0.320604,6.224776
0.050000,12.761526,14.390820,4.391333,4.022560,1.716500,-0.330166,6.227511
0.050000,12.966603,14.379725,4.596710,4.107535,1.699503,-0.339944,6.230864
0.050000,13.175919,14.369174,4.806292,4.191636,1.682019,-0.349667,6.234874
0.050000,13.384831,14.359544,5.015426,4.182676,-0.179192,-37.224230,6.239474
0.050000,13.588559,14.351141,5.219327,4.078031,-2.092900,-38.274148,6.244540
0.050000,13.786954,14.344006,5.417850,3.970464,-2.151344,-1.168896,6.250032
0.050000,13.980052,14.338161,5.611037,3.863726,-2.134763,0.331619,6.255909
0.050000,14.167887,14.333614,5.798927,3.757803,-2.118462,0.326037,6.262135
0.050000,14.350492,14.330359,5.981561,3.652681,-2.102436,0.320503,6.268672
0.050000,14.527899,14.328382,6.158978,3.548347,-2.086686,0.315016,6.275485
0.050000,14.700137,14.327657,6.331218,3.444786,-2.071216,0.309400,6.282537
0.050000,14.867235,14.328149,6.498317,3.341984,-2.056047,0.303374,0.006609
0.050000,15.029223,14.329816,6.660313,3.239924,-2.041187,0.297207,0.014036
0.050000,15.186127,14.332607,6.817242,3.138591,-2.026659,0.290543,0.021601
0.050000,15.337977,14.336466,6.969141,3.037967,-2.012484,0.283510,0.029270
0.050000,15.484798,14.341330,7.116042,2.938033,-1.998681,0.276067,0.037011
0.050000,15.626618,14.347130,7.257981,2.838769,-1.985292,0.267782,0.044794
0.050000,15.763463,14.353796,7.394989,2.740154,-1.972299,0.259852,0.052589
0.050000,15.895361,14.361250,7.527097,2.642164,-1.959795,0.250073,0.060367
0.050000,16.022338,14.369415,7.654336,2.544779,-1.947702,0.241859,0.068100
0.050000,16.144420,14.378209,7.776734,2.447970,-1.936166,0.230733,0.075762
0.050000,16.261634,14.387551,7.894320,2.351718,-1.925056,0.222203,0.083326
0.050000,16.374007,14.397356,8.007120,2.255991,-1.914538,0.210342,0.090769
0.050000,16.481564,14.407540,8.115158,2.160767,-1.904483,0.201116,0.098068
0.050000,16.584332,14.418020,8.218459,2.066017,-1.895001,0.189626,0.105200
0.050000,16.682336,14.428711,8.317044,1.971714,-1.886057,0.178893,0.112146
0.050000,16.775602,14.439532,8.410936,1.877833,-1.877604,0.169056,0.118885
0.050000,16.864155,14.450401,8.500153,1.784345,-1.869766,0.156759,0.125399
0.050000,16.948018,14.461240,8.584715,1.691223,-1.862442,0.146475,0.131673
0.050000,17.027217,14.471971,8.664637,1.598447,-1.855525,0.138342,0.137688
0.050000,17.101774,14.482520,8.739936,1.505987,-1.849196,0.126577,0.143433
0.050000,17.171711,14.492815,8.810627,1.413816,-1.843429,0.115355,0.148891
0.050000,17.237050,14.502788,8.876723,1.321911,-1.838090,0.106769,0.154053
0.050000,17.297811,14.512374,8.938235,1.230256,-1.833098,0.099844,0.158905
0.050000,17.354014,14.521511,8.995177,1.138823,-1.828669,0.088585,0.163438
0.050000,17.405677,14.530142,9.047556,1.047588,-1.824689,0.079595,0.167643
0.050000,17.452818,14.538214,9.095383,0.956538,-1.821005,0.073688,0.171511
0.050000,17.495453,14.545676,9.138665,0.865649,-1.817787,0.064353,0.175035
0.050000,17.533595,14.552484,9.177410,0.774899,-1.814997,0.055791,0.178208
0.050000,17.567259,14.558596,9.211624,0.684282,-1.812342,0.053102,0.181025
0.050000,17.596455,14.563977,9.241313,0.593769,-1.810248,0.041884,0.183480
0.050000,17.621196,14.568595,9.266480,0.503352,-1.808346,0.038037,0.185568
0.050000,17.641488,14.572422,9.287131,0.413013,-1.806788,0.031169,0.187287
0.050000,17.657341,14.575437,9.303268,0.322734,-1.805573,0.024290,0.188634
0.050000,17.668759,14.577623,9.314893,0.232508,-1.804518,0.021100,0.189606
0.050000,17.675747,14.578966,9.322009,0.142311,-1.803937,0.011616,0.190202
0.050000,17.678307,14.579459,9.324616,0.052143,-1.803371,0.011333,0.190420
0.050000,17.678480,14.579493,9.324792,0.003529,-0.972272,16.621969,0.190435
0.050000,17.678480,14.579493,9.324792,0.000000,-0.070582,18.033812,0.190435
