dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,9.769662,1.458734,0.004860,0.194417,3.888349,77.766971,1.547282
0.050000,9.770143,1.478092,0.024302,0.583252,7.776697,77.766971,1.544605
0.050000,9.771419,1.521817,0.068046,1.166505,11.665046,77.766971,1.538654
0.050000,9.774117,1.594673,0.140953,1.749757,11.665046,0.000000,1.528959
0.050000,9.779058,1.696622,0.243022,2.333009,11.665046,-0.000000,1.515869
0.050000,9.787320,1.827592,0.374254,2.916261,11.665046,0.000000,1.499882
0.050000,9.800162,1.987469,0.534648,3.499514,11.665046,-0.000000,1.481661
0.050000,9.818920,2.176093,0.724205,4.082766,11.665046,0.000000,1.462037
0.050000,9.844887,2.393262,0.942925,4.666018,11.665046,-0.000000,1.442010
0.050000,9.879164,2.638759,1.190807,5.249271,11.665046,0.000000,1.422736
0.050000,9.922495,2.912391,1.467852,5.832523,11.665046,0.000000,1.405516
0.050000,9.975087,3.214045,1.774059,6.415775,11.665046,-0.000000,1.391787
0.050000,10.035507,3.538984,2.104569,6.804610,7.776697,-77.766971,1.383191
0.050000,10.100424,3.877914,2.449660,6.999027,3.888349,-77.766971,1.381084
0.050000,10.164925,4.217245,2.795067,6.817256,-3.635428,-150.475536,1.385992
0.050000,10.224162,4.543365,3.126525,6.441067,-7.523777,-77.766971,1.397320
0.050000,10.274950,4.846931,3.434313,5.870461,-11.412125,-77.766971,1.413669
0.050000,10.315992,5.122832,3.713255,5.287209,-11.665046,-5.058407,1.433350
0.050000,10.347624,5.370595,3.963034,4.703956,-11.665046,0.000000,1.454892
0.050000,10.370768,5.589990,4.183650,4.120704,-11.665046,-0.000000,1.476971
0.050000,10.386693,5.780777,4.375104,3.537452,-11.665046,0.000000,1.498414
0.050000,10.396846,5.942747,4.537396,2.954199,-11.665046,0.000000,1.518212
0.050000,10.402703,6.075745,4.670524,2.370947,-11.665046,0.000000,1.535532
0.050000,10.405636,6.179669,4.774490,1.787695,-11.665046,-0.000000,1.549713
0.050000,10.406820,6.254463,4.849294,1.204443,-11.665046,0.000000,1.560262
0.050000,10.407152,6.300102,4.894934,0.621190,-11.665046,0.000000,1.566837
0.050000,10.407203,6.321125,4.915957,0.219709,-8.029617,72.708564,1.569900
0.050000,10.407205,6.326934,4.921766,0.012646,-4.141269,77.766971,1.570750
0.050000,10.407205,6.327250,4.922082,0.000000,-0.252920,77.766971,1.570796
0.050000,10.407205,6.327250,4.922082,0.000000,0.000000,5.058407,1.570796
